agent,annualized_return,annualized_volatility,capital_preservation_rate_95pct_hwm,drawdown_floor,fast_window,final_portfolio_value,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,slow_window,ticker,var_95,var_95_violation_rate
stop_loss_5pct,0.054187338013116995,0.12453563772591751,0.9905297386614297,0.05,20,1233203.0118427838,0.2522865203910417,True,-1,0.4237349892242817,50,SPY,-0.013954158325610422,0.04995004995004995
stop_loss_10pct,0.055896520224523016,0.13315854848075775,0.9951186923772687,0.1,20,1241164.3295769058,0.2994737928067983,True,-1,0.40846137217784717,50,SPY,-0.01445616382287973,0.04995004995004995
