date,portfolio_value,seed,agent,uncertainty
2022-04-25,963755.5327995889,7,ppo_with_uncertainty_guard,0.49276248
2022-04-26,943463.2506100095,7,ppo_with_uncertainty_guard,0.50305486
2022-04-27,945362.5547030077,7,ppo_with_uncertainty_guard,0.6240193
2022-04-28,962400.1919077253,7,ppo_with_uncertainty_guard,0.62378806
2022-04-29,936837.8832046808,7,ppo_with_uncertainty_guard,0.47923204
2022-05-02,940847.5947506574,7,ppo_with_uncertainty_guard,0.57140094
2022-05-03,943919.602059391,7,ppo_with_uncertainty_guard,0.544687
2022-05-04,964421.3948017934,7,ppo_with_uncertainty_guard,0.49033394
2022-05-05,939764.3568134672,7,ppo_with_uncertainty_guard,0.3100437
2022-05-06,935743.8037680045,7,ppo_with_uncertainty_guard,0.3988589
2022-05-09,914505.3726729436,7,ppo_with_uncertainty_guard,0.44361344
2022-05-10,915988.5977131843,7,ppo_with_uncertainty_guard,0.5975367
2022-05-11,905767.254977852,7,ppo_with_uncertainty_guard,0.6170806
2022-05-12,905106.2587309078,7,ppo_with_uncertainty_guard,0.6687739
2022-05-13,920228.6861217663,7,ppo_with_uncertainty_guard,0.6536244
2022-05-16,917600.8711829785,7,ppo_with_uncertainty_guard,0.502361
2022-05-17,930867.8778086081,7,ppo_with_uncertainty_guard,0.43713734
2022-05-18,904333.7889204061,7,ppo_with_uncertainty_guard,0.2974384
2022-05-19,900333.1308045455,7,ppo_with_uncertainty_guard,0.4259198
2022-05-20,900615.1859604821,7,ppo_with_uncertainty_guard,0.48536122
2022-05-23,912662.8735795764,7,ppo_with_uncertainty_guard,0.49241555
2022-05-24,907654.4079384203,7,ppo_with_uncertainty_guard,0.39296103
2022-05-25,913406.7974771233,7,ppo_with_uncertainty_guard,0.37746462
2022-05-26,926241.2024839527,7,ppo_with_uncertainty_guard,0.3192953
2022-05-27,942216.1240307849,7,ppo_with_uncertainty_guard,0.20492259
2022-05-31,938574.9650709594,7,ppo_with_uncertainty_guard,0.057244174
2022-06-01,933200.8531124721,7,ppo_with_uncertainty_guard,0.04764566
2022-06-02,945828.8331648451,7,ppo_with_uncertainty_guard,0.10384903
2022-06-03,935078.3942599008,7,ppo_with_uncertainty_guard,0.0645298
2022-06-06,937091.9217257606,7,ppo_with_uncertainty_guard,0.15265113
2022-06-07,943733.7592019672,7,ppo_with_uncertainty_guard,0.19012006
2022-06-08,935989.4086464378,7,ppo_with_uncertainty_guard,0.17843993
2022-06-09,918781.3751151472,7,ppo_with_uncertainty_guard,0.23950037
2022-06-10,898777.3295987374,7,ppo_with_uncertainty_guard,0.3794306
2022-06-13,873330.4624837949,7,ppo_with_uncertainty_guard,0.5630745
2022-06-14,871387.5907574198,7,ppo_with_uncertainty_guard,0.7893914
2022-06-15,880551.6197028238,7,ppo_with_uncertainty_guard,0.84559476
2022-06-16,858974.0382910111,7,ppo_with_uncertainty_guard,0.75215375
2022-06-17,860332.97833696,7,ppo_with_uncertainty_guard,0.8167992
2022-06-21,876229.402527536,7,ppo_with_uncertainty_guard,0.7704257
2022-06-22,875055.66518621,7,ppo_with_uncertainty_guard,0.5890946
2022-06-23,881390.1444326955,7,ppo_with_uncertainty_guard,0.49056524
2022-06-24,902136.9232655116,7,ppo_with_uncertainty_guard,0.37746462
2022-06-27,899512.9665114329,7,ppo_with_uncertainty_guard,0.17901815
2022-06-28,885498.6846008836,7,ppo_with_uncertainty_guard,0.12709363
2022-06-29,884949.8831263019,7,ppo_with_uncertainty_guard,0.21232384
2022-06-30,879571.5489509392,7,ppo_with_uncertainty_guard,0.25869742
2022-07-01,886337.4453974001,7,ppo_with_uncertainty_guard,0.32357416
2022-07-05,887562.4958824749,7,ppo_with_uncertainty_guard,0.30241114
2022-07-06,889687.7618940513,7,ppo_with_uncertainty_guard,0.28795555
2022-07-07,899084.6898740438,7,ppo_with_uncertainty_guard,0.267949
2022-07-08,898525.5019695954,7,ppo_with_uncertainty_guard,0.19624922
2022-07-11,891170.0566216517,7,ppo_with_uncertainty_guard,0.18237185
2022-07-12,885532.9811552708,7,ppo_with_uncertainty_guard,0.2392691
2022-07-13,882300.1220084575,7,ppo_with_uncertainty_guard,0.3090029
2022-07-14,880817.1097383819,7,ppo_with_uncertainty_guard,0.36231515
2022-07-15,892602.460803594,7,ppo_with_uncertainty_guard,0.39157328
2022-07-18,887407.762724313,7,ppo_with_uncertainty_guard,0.310275
2022-07-19,904738.4701185894,7,ppo_with_uncertainty_guard,0.31478515
2022-07-20,909031.6008837813,7,ppo_with_uncertainty_guard,0.19150779
2022-07-21,915834.0990424604,7,ppo_with_uncertainty_guard,0.12720928
2022-07-22,909660.4137911018,7,ppo_with_uncertainty_guard,0.07008075
2022-07-25,910464.7122595028,7,ppo_with_uncertainty_guard,0.11391012
2022-07-26,902133.9939858147,7,ppo_with_uncertainty_guard,0.14594373
2022-07-27,920601.3756388236,7,ppo_with_uncertainty_guard,0.23244604
2022-07-28,929832.8207504556,7,ppo_with_uncertainty_guard,0.16028368
2022-07-29,940883.3790641894,7,ppo_with_uncertainty_guard,0.095638245
2022-08-01,938597.6872211985,7,ppo_with_uncertainty_guard,0.024632342
2022-08-02,933575.8278899881,7,ppo_with_uncertainty_guard,0.039087944
2022-08-03,945108.607137582,7,ppo_with_uncertainty_guard,0.10199871
2022-08-04,944596.9416462169,7,ppo_with_uncertainty_guard,0.08072007
2022-08-05,943368.9437642127,7,ppo_with_uncertainty_guard,0.10384903
2022-08-08,942537.592519141,7,ppo_with_uncertainty_guard,0.14235875
2022-08-09,939662.1472495486,7,ppo_with_uncertainty_guard,0.1822562
