ablation,agent,annualized_return,annualized_volatility,bootstrap_paths,capital_preservation_rate_95pct_hwm,enable_risk_on_guard,enable_trade_scaling,final_portfolio_value,fold_id,mask_uncertainty_in_state,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,ticker,timesteps,uncertainty_mode,var_95,var_95_violation_rate
scaling_only,ppo_ablation_scaling_only,0.1331541768689621,0.17633396512965474,0,0.9963353181661716,False,True,1626012.5912039345,test_legacy,True,0.21570046907203222,True,7,0.7089101557773421,SPY,50000,aleatoric,-0.016455669451794108,0.05
scaling_only,ppo_ablation_scaling_only,0.13315115191313956,0.1770356060414285,0,0.9963353181661715,False,True,1625995.7109958054,test_legacy,True,0.21782112903388284,True,13,0.7060854730196459,SPY,50000,aleatoric,-0.016531187945289627,0.05
scaling_only,ppo_ablation_scaling_only,0.1357332826864322,0.17357324251145392,0,0.9963353181661716,False,True,1640452.2552173263,test_legacy,True,0.20590270671155408,True,19,0.7332834722564264,SPY,50000,aleatoric,-0.016455669378622508,0.05
scaling_only,ppo_ablation_scaling_only,0.13507092204134327,0.1733765194494956,0,0.9963353181676968,False,True,1636734.8369619616,test_legacy,True,0.20549133491251237,True,23,0.7307507369533653,SPY,50000,aleatoric,-0.016455479541767383,0.05
scaling_only,ppo_ablation_scaling_only,0.13558691132595665,0.1740309702812043,0,0.9963353181661716,False,True,1639630.2245155429,test_legacy,True,0.20839160578241123,True,29,0.7306142325409658,SPY,50000,aleatoric,-0.016455669451262533,0.05
scaling_only,ppo_ablation_scaling_only,0.13503565438738294,0.17538544988791044,0,0.9963353181661716,False,True,1636537.077194554,test_legacy,True,0.213753025336207,True,37,0.7222032924160419,SPY,50000,aleatoric,-0.01645566889707455,0.05
scaling_only,ppo_ablation_scaling_only,0.1331116192363393,0.17697606865531207,0,0.9963353373904598,False,True,1625775.118150496,test_legacy,True,0.2179389268219678,True,42,0.7061258767124443,SPY,50000,aleatoric,-0.01653251264291713,0.05
scaling_only,ppo_ablation_scaling_only,0.1354479261999068,0.174991749135443,0,0.9963353181661778,False,True,1638849.9586302864,test_legacy,True,0.21292799279953356,True,53,0.7259034046367737,SPY,50000,aleatoric,-0.016455659158638714,0.05
scaling_only,ppo_ablation_scaling_only,0.13421338081242362,0.17612282244871533,0,0.9963353181661715,False,True,1631931.2914942782,test_legacy,True,0.2160963949614203,True,67,0.715064855546278,SPY,50000,aleatoric,-0.01645566945237977,0.05
scaling_only,ppo_ablation_scaling_only,0.1390513360964067,0.1704725193591679,0,0.9963353181661792,False,True,1659168.9154147326,test_legacy,True,0.1911176696310397,True,89,0.7637338492999283,SPY,50000,aleatoric,-0.016452776753793686,0.05
