agent,annualized_return,annualized_volatility,bootstrap_paths,capital_preservation_rate_95pct_hwm,device,final_portfolio_value,fold_id,max_drawdown,mc_dropout,mc_passes,meets_95pct_preservation_goal,seed,sharpe_ratio,ticker,timesteps,uncertainty_mode,var_95,var_95_violation_rate
ppo_with_uncertainty_guard_epistemic,0.13917163466823568,0.274358135757395,32,0.9565674121730707,cpu,1659850.4683037181,test_legacy,0.33360514023690113,0.1,20,True,7,0.4749313748967544,AAPL,50000,epistemic,-0.02863965889150828,0.05
ppo_with_uncertainty_guard_epistemic,0.03825276500409502,0.10832454259143161,32,0.9799885918756311,cpu,1157180.0302650179,test_legacy,0.157879374182903,0.1,20,True,13,0.34654392027900793,AAPL,50000,epistemic,-0.01126556657967912,0.05
ppo_with_uncertainty_guard_epistemic,0.14057063374920065,0.27451679566263143,32,0.9565674121730684,cpu,1667791.79520921,test_legacy,0.3336051402453465,0.1,20,True,19,0.4791277586996894,AAPL,50000,epistemic,-0.028863338559131344,0.05
ppo_with_uncertainty_guard_epistemic,0.011296058855379097,0.0715270625949298,32,0.9885402827611922,cpu,1044650.9992213055,test_legacy,0.1172956769883503,0.1,20,True,23,0.15704139767558165,AAPL,50000,epistemic,-0.00791734124130219,0.05
ppo_with_uncertainty_guard_epistemic,0.14554808340828287,0.2714395891053201,32,0.9565674121730687,cpu,1696274.9800126594,test_legacy,0.3336051402449226,0.1,20,True,29,0.5006016952914673,AAPL,50000,epistemic,-0.02759704181764766,0.05
ppo_with_uncertainty_guard_epistemic,0.14532211389788974,0.25335391509492033,32,0.9565674798819687,cpu,1694974.1080090175,test_legacy,0.33360089608616417,0.1,20,True,37,0.5355584679083981,AAPL,50000,epistemic,-0.024947007870397185,0.05
ppo_with_uncertainty_guard_epistemic,0.14279582608648025,0.2674139350226842,32,0.956567454789807,cpu,1680481.057460907,test_legacy,0.3335971027698239,0.1,20,True,42,0.4991424989244692,AAPL,50000,epistemic,-0.027603038800897737,0.05
ppo_with_uncertainty_guard_epistemic,0.055888217885236395,0.13999925914114453,32,0.9753666015252194,cpu,1235513.682714284,test_legacy,0.18288387750597768,0.1,20,True,53,0.38844679661427195,AAPL,50000,epistemic,-0.014477386537215597,0.05
ppo_with_uncertainty_guard_epistemic,0.14704032917077692,0.23804650615561054,32,0.9581113970168362,cpu,1704884.2413933678,test_legacy,0.3198617736654269,0.1,20,True,67,0.5762945603700044,AAPL,50000,epistemic,-0.023431928386928026,0.05
ppo_with_uncertainty_guard_epistemic,0.12019584835244562,0.19751052724011287,32,0.956912135733193,cpu,1554886.62753365,test_legacy,0.3260641624055679,0.1,20,True,89,0.5746703478559074,AAPL,50000,epistemic,-0.017006686892853208,0.05
