agent,annualized_return,annualized_volatility,bootstrap_paths,capital_preservation_rate_95pct_hwm,final_portfolio_value,fold_id,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,ticker,timesteps,var_95,var_95_violation_rate
ppo_with_uncertainty_guard,0.11736769081061807,0.14728991492050172,0,0.9967717433888138,1539675.9081786452,test_legacy,0.16981367992920626,True,7,0.7534495723256555,SPY,10000,-0.013932033952207233,0.05
ppo_with_uncertainty_guard,0.14069895115904174,0.1378291370880504,0,0.9963373347265955,1668521.590977353,test_legacy,0.18662879906956464,True,19,0.9551031134870687,SPY,10000,-0.01317839269075174,0.05
ppo_with_uncertainty_guard,0.13376708037215249,0.16288214769161385,0,0.9963353190276629,1629435.4723980534,test_legacy,0.18755021948170292,True,42,0.7707760926162157,SPY,10000,-0.01573912018471093,0.05
ppo_with_uncertainty_guard,0.15311532514542048,0.19269722431016426,0,0.9796830364303549,1740268.3701144746,test_legacy,0.22570803060748734,True,7,0.7393315665990251,QQQ,10000,-0.019300949733987594,0.05
ppo_with_uncertainty_guard,0.18402199215076903,0.1819174615330734,0,0.9778304896829282,1928803.5243431565,test_legacy,0.2266765645344847,True,19,0.9285362818769272,QQQ,10000,-0.018045261427817927,0.05
ppo_with_uncertainty_guard,0.16316098213159383,0.20665732227761907,0,0.9778230259476026,1799972.9891040155,test_legacy,0.24395752922290614,True,42,0.7313612985460879,QQQ,10000,-0.02096781167132713,0.05
ppo_with_uncertainty_guard,-0.014937067719898582,0.04783940387404658,0,0.9335564545422881,943152.9612147084,test_legacy,0.09840036686303211,False,7,-0.3145879349083915,IWM,10000,-0.004837814451222666,0.05
ppo_with_uncertainty_guard,-0.0002515012177241904,0.012034646870592082,0,0.9911984249761748,999022.2949618781,test_legacy,0.01510810105167204,True,19,-0.0209004497032879,IWM,10000,-0.0005013445695689178,0.05
ppo_with_uncertainty_guard,0.07377222020484218,0.21386510724223362,0,0.9725289952469695,1318906.3866653652,test_legacy,0.27502919196135467,True,42,0.3328164945084635,IWM,10000,-0.02050674891862423,0.05
ppo_with_uncertainty_guard,0.17651581477459088,0.22244310716546906,0,0.9622599829133094,1881684.8176669711,test_legacy,0.23934568700669678,True,7,0.7307812652896898,XLK,10000,-0.02284915645101391,0.05
ppo_with_uncertainty_guard,0.10662566872627544,0.10613395805355051,0,0.9661081535112475,1482907.2470312691,test_legacy,0.1350355369679307,True,19,0.954598297874421,XLK,10000,-0.009820939376646543,0.05
ppo_with_uncertainty_guard,0.18144496741211333,0.2435957012486756,0,0.9607158167798182,1912529.0593754505,test_legacy,0.256555832291375,True,42,0.6844871583121118,XLK,10000,-0.02486268513927161,0.05
ppo_with_uncertainty_guard,0.11077985898582879,0.15524148060324305,0,0.992678829529377,1504673.2776564173,test_legacy,0.1919362902861932,True,7,0.676766521774981,XLF,10000,-0.015398886911992893,0.05
ppo_with_uncertainty_guard,0.12710320894151073,0.14220180656172018,0,0.9926433601110916,1592505.724289346,test_legacy,0.15529544821375652,True,19,0.8414145970599383,XLF,10000,-0.013644262935935991,0.05
ppo_with_uncertainty_guard,0.11507670636453234,0.1746822575735531,0,0.992643135994952,1527435.5414766779,test_legacy,0.21488195924522424,True,42,0.6235498671652472,XLF,10000,-0.017914301808975085,0.05
ppo_with_uncertainty_guard,-0.014359385010965777,0.06870427567010282,0,0.8215730374189956,945305.7475238737,test_legacy,0.19807198233182222,False,7,-0.21051739651436668,XLE,10000,-0.007352602728480395,0.05
ppo_with_uncertainty_guard,0.07676490157588498,0.22506116929965303,0,0.956984005219902,1333259.1571697416,test_legacy,0.19978917170643795,True,19,0.3286263566498475,XLE,10000,-0.0219025722198924,0.05
ppo_with_uncertainty_guard,0.014126382073458048,0.09046115399012417,0,0.9034971196902439,1056066.8870338106,test_legacy,0.14398816454532648,False,42,0.15506667028810048,XLE,10000,-0.008760392975740227,0.05
ppo_with_uncertainty_guard,-0.0061214870657977085,0.0113699485439752,0,0.9685640630331537,976403.901024966,test_legacy,0.034092601777682474,True,7,-0.5400388955978529,XLV,10000,-0.0008158215825508463,0.05
ppo_with_uncertainty_guard,0.03578878452127698,0.06656755480144301,0,0.9890614480607125,1146536.8464147337,test_legacy,0.07804313928334794,True,19,0.5282327608034505,XLV,10000,-0.007003443542308929,0.05
ppo_with_uncertainty_guard,-0.004238887214726411,0.014568426827435185,0,0.974273868824454,983616.1017659345,test_legacy,0.03594140897748099,True,42,-0.2915792164807116,XLV,10000,-0.001060336518144478,0.05
ppo_with_uncertainty_guard,0.084921394299047,0.17080363587620614,0,0.9296253610024624,1372966.5364364828,test_legacy,0.2452343807036257,False,7,0.47719980049647015,XLU,10000,-0.018204037274189934,0.05
ppo_with_uncertainty_guard,0.08554371014803841,0.1649011031267043,0,0.9296401896733034,1376031.7298701648,test_legacy,0.23819092728251157,False,19,0.49775833058023927,XLU,10000,-0.017630365089368726,0.05
ppo_with_uncertainty_guard,0.08129681284929427,0.15861453465521425,0,0.9303240028344945,1355214.480603321,test_legacy,0.2315429159668433,False,42,0.4927732215213272,XLU,10000,-0.016582394366761212,0.05
