ablation,agent,annualized_return,annualized_volatility,bootstrap_paths,capital_preservation_rate_95pct_hwm,enable_risk_on_guard,enable_trade_scaling,final_portfolio_value,fold_id,mask_uncertainty_in_state,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,ticker,timesteps,uncertainty_mode,var_95,var_95_violation_rate
guard_only,ppo_ablation_guard_only,0.1341633555132259,0.17703985820392326,0,0.9963353181661715,True,False,1631651.3968007776,test_legacy,True,0.21635883284648694,True,7,0.7111118129188962,SPY,50000,aleatoric,-0.01646365807287111,0.05
guard_only,ppo_ablation_guard_only,0.13387173420222753,0.177387869206755,0,0.9963353181661715,True,False,1630020.4670426212,test_legacy,True,0.2179462909801051,True,13,0.7082670188612671,SPY,50000,aleatoric,-0.01652704204624724,0.05
guard_only,ppo_ablation_guard_only,0.13611053739277115,0.1751466114737716,0,0.9963353181661716,True,False,1642572.3526045426,test_legacy,True,0.20929662856252473,True,19,0.7285924796027239,SPY,50000,aleatoric,-0.01645554605221271,0.05
guard_only,ppo_ablation_guard_only,0.13563981039238351,0.1752801108114815,0,0.9963353181661715,True,False,1639927.2736571429,test_legacy,True,0.209946503008121,True,23,0.7256732433570636,SPY,50000,aleatoric,-0.016455546012759826,0.05
guard_only,ppo_ablation_guard_only,0.13711289435772106,0.17464411060702034,0,0.996335318166386,True,False,1648215.2906710254,test_legacy,True,0.20751701534097144,True,29,0.7357384341759943,SPY,50000,aleatoric,-0.016455494398884163,0.05
guard_only,ppo_ablation_guard_only,0.13582032717021272,0.17650575948244251,0,0.9963353181661715,True,False,1640941.2476169309,test_legacy,True,0.21598689440236452,True,37,0.7215347018759931,SPY,50000,aleatoric,-0.0164555460679221,0.05
guard_only,ppo_ablation_guard_only,0.1337971051434408,0.1774415669478077,0,0.9963353181661715,True,False,1629603.2890990078,test_legacy,True,0.2183414293141518,True,42,0.7076817427276253,SPY,50000,aleatoric,-0.01653318969142976,0.05
guard_only,ppo_ablation_guard_only,0.13477739739436856,0.177235584765864,0,0.9963353181661715,True,False,1635089.468333282,test_legacy,True,0.2185548144777577,True,53,0.7133804025635634,SPY,50000,aleatoric,-0.016533043992988182,0.05
guard_only,ppo_ablation_guard_only,0.1347933647194006,0.1771188921878743,0,0.9963353181661715,True,False,1635178.942440167,test_legacy,True,0.21788836769335795,True,67,0.7139298464895514,SPY,50000,aleatoric,-0.016528172596754053,0.05
guard_only,ppo_ablation_guard_only,0.13887388624802408,0.17370582443831156,0,0.9963353181661715,True,False,1658163.950862646,test_legacy,True,0.19807675427433058,True,89,0.7486210476332711,SPY,50000,aleatoric,-0.016455546039895453,0.05
