agent,annualized_return,annualized_volatility,bootstrap_paths,capital_preservation_rate_95pct_hwm,final_portfolio_value,fold_id,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,test_window,ticker,timesteps,train_window,var_95,var_95_violation_rate
ppo_standalone,-0.011660918177651853,0.01435638804983699,0,0.97790593919516,977905.93919516,wf_2018_2019,0.027218856584415807,True,7,-0.8170098322739001,2018-01-01/2019-12-31,SPY,10000,2009-01-01/2017-12-31,0.0,0.0125
ppo_with_uncertainty_guard,0.012494954030402418,0.04440714084491144,0,0.9998919394670494,1023934.3877678218,wf_2018_2019,0.054853427736053506,True,7,0.27962826893579085,2018-01-01/2019-12-31,SPY,10000,2009-01-01/2017-12-31,-0.005150417161341192,0.05
ppo_standalone,-0.008207527258214959,0.01522265729960485,0,0.9844246755539707,984424.6755539707,wf_2018_2019,0.027689611949952564,True,19,-0.5413843551523391,2018-01-01/2019-12-31,SPY,10000,2009-01-01/2017-12-31,0.0,0.016666666666666666
ppo_with_uncertainty_guard,0.09521000346797268,0.13183504731938192,0,0.9997523451396092,1189140.4338858735,wf_2018_2019,0.18548774501363874,True,19,0.6898470566717523,2018-01-01/2019-12-31,SPY,10000,2009-01-01/2017-12-31,-0.015922326737871816,0.05
ppo_standalone,-0.011195522159835028,0.024531607510140805,0,0.9787832368665228,978783.2368665228,wf_2018_2019,0.043047021264204566,True,42,-0.4589422388830971,2018-01-01/2019-12-31,SPY,10000,2009-01-01/2017-12-31,0.0,0.022916666666666665
ppo_with_uncertainty_guard,0.10737532004342701,0.138536054613451,0,0.9997522396937077,1214426.1890839476,wf_2018_2019,0.19311698378144582,True,42,0.7362164468646589,2018-01-01/2019-12-31,SPY,10000,2009-01-01/2017-12-31,-0.01675552139040084,0.05
ppo_standalone,-0.0015741289569212913,0.011316224267496499,0,0.9769011476395904,996991.3289819313,wf_2020_2021,0.023941498795772787,True,7,-0.13921137150118493,2020-01-01/2021-12-31,SPY,10000,2009-01-01/2019-12-31,0.0,0.024896265560165973
ppo_with_uncertainty_guard,0.14347981702773194,0.13394823572854408,0,1.0,1292330.4169518596,wf_2020_2021,0.17762112139234043,True,7,1.0009532751721226,2020-01-01/2021-12-31,SPY,10000,2009-01-01/2019-12-31,-0.014246992203308294,0.05186721991701245
ppo_standalone,0.007984395056500981,0.005872364123878436,0,0.9998754478995108,1015327.3720655456,wf_2020_2021,0.0011712946522733914,True,19,1.3542200876971153,2020-01-01/2021-12-31,SPY,10000,2009-01-01/2019-12-31,0.0,0.008298755186721992
ppo_with_uncertainty_guard,0.1893351011786898,0.15359447894773656,0,1.0,1393266.816665539,wf_2020_2021,0.18627244377936647,True,19,1.1289092840102404,2020-01-01/2021-12-31,SPY,10000,2009-01-01/2019-12-31,-0.0156820170959751,0.05186721991701245
ppo_standalone,0.010213883740300462,0.007852744028137919,0,0.9980645017712153,1019627.1118014632,wf_2020_2021,0.0023642531695304836,True,42,1.2940532700928735,2020-01-01/2021-12-31,SPY,10000,2009-01-01/2019-12-31,0.0,0.01867219917012448
ppo_with_uncertainty_guard,0.247904839705726,0.16486560727947808,0,1.0,1527446.9764225397,wf_2020_2021,0.18013161073870143,True,42,1.3433111199765702,2020-01-01/2021-12-31,SPY,10000,2009-01-01/2019-12-31,-0.0178811514063403,0.05186721991701245
ppo_standalone,-0.008185284805085707,0.01373372873582909,0,0.9801154310147621,984498.8366862367,wf_2022_2023,0.02428420836558043,True,7,-0.5984444092360169,2022-01-01/2023-12-31,SPY,10000,2009-01-01/2021-12-31,0.0,0.029227557411273485
ppo_with_uncertainty_guard,0.010408530818718115,0.07625479708783474,0,1.0,1019877.1864446984,wf_2022_2023,0.09515729859852629,True,7,0.13579097800004886,2022-01-01/2023-12-31,SPY,10000,2009-01-01/2021-12-31,-0.007528835726209238,0.05010438413361169
ppo_standalone,-0.01039108462262453,0.013467718861582073,0,0.9759761477451474,980341.1625019738,wf_2022_2023,0.02510217688930605,True,19,-0.7755824026462069,2022-01-01/2023-12-31,SPY,10000,2009-01-01/2021-12-31,0.0,0.031315240083507306
ppo_with_uncertainty_guard,0.0740495137191842,0.1716220611951076,0,1.0,1145435.9191458088,wf_2022_2023,0.17561244813714427,True,19,0.4162403749834219,2022-01-01/2023-12-31,SPY,10000,2009-01-01/2021-12-31,-0.017171999493832857,0.05010438413361169
ppo_standalone,-0.00823464465466294,0.016265413674514066,0,0.9794765714925717,984405.7079466622,wf_2022_2023,0.024790146191301488,True,42,-0.5083581698511755,2022-01-01/2023-12-31,SPY,10000,2009-01-01/2021-12-31,0.0,0.027139874739039668
ppo_with_uncertainty_guard,0.06416252542175781,0.16876945256592293,0,1.0,1125476.8361472036,wf_2022_2023,0.18227037614452268,True,42,0.36847942131231126,2022-01-01/2023-12-31,SPY,10000,2009-01-01/2021-12-31,-0.016800384891734944,0.05010438413361169
