agent,annualized_return,annualized_volatility,capital_preservation_rate_95pct_hwm,final_portfolio_value,fold_id,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,ticker,timesteps,var_95,var_95_violation_rate
ppo_standalone,-0.0038038392141543256,0.00863859172815028,0.9810489085882741,985288.3750132549,test_legacy,0.02145591874990116,True,7,-0.4411624367445721,SPY,10000,0.0,0.011224489795918367
ppo_standalone,-0.003954354513061968,0.0077771480789727504,0.9804725972109578,984709.5731864686,test_legacy,0.0203622573772414,True,19,-0.509455745431894,SPY,10000,0.0,0.01020408163265306
ppo_standalone,-0.003516935052430899,0.010523142321720011,0.9817350549326987,986392.3558617983,test_legacy,0.020858690556257886,True,42,-0.33479361510518707,SPY,10000,0.0,0.01020408163265306
ppo_standalone,-0.00573004789314859,0.013426953783321505,0.9743633592883351,977900.25066289,test_legacy,0.03029430152545265,True,7,-0.42797940276321383,QQQ,10000,0.0,0.01020408163265306
ppo_standalone,-0.005507145871931978,0.010964294135134708,0.9752359143032808,978753.0962697811,test_legacy,0.024819974655204358,True,19,-0.5036608908663982,QQQ,10000,0.0,0.01020408163265306
ppo_standalone,-0.005641791091604221,0.015759606978055878,0.9743938037674987,978237.864039388,test_legacy,0.027653420538357953,True,42,-0.3590006480954404,QQQ,10000,0.0,0.01020408163265306
ppo_standalone,-0.0018841205453069352,0.011041140367858342,0.9875636023056713,992692.7817538929,test_legacy,0.020032137632841396,True,7,-0.17080397096147454,IWM,10000,0.0,0.014285714285714285
ppo_standalone,-0.003050659534285089,0.008380555218983538,0.9879632544269855,988188.5010733823,test_legacy,0.014513513761456598,True,19,-0.3645658704697454,IWM,10000,0.0,0.014285714285714285
ppo_standalone,-0.001862371819425766,0.015614540624439111,0.9849067170830542,992776.9032372801,test_legacy,0.025497434881800007,True,42,-0.11938162534474928,IWM,10000,0.0,0.0163265306122449
ppo_standalone,-0.005316961816867208,0.011908472939360764,0.9759601423521306,979481.1963582144,test_legacy,0.02785702756783448,True,7,-0.447670841110808,XLK,10000,0.0,0.012244897959183673
ppo_standalone,-0.004908343380890069,0.00919190145245338,0.9775202284043937,981046.9108649662,test_legacy,0.022479771595606324,True,19,-0.535291192094124,XLK,10000,0.0,0.012244897959183673
ppo_standalone,-0.004863311462356465,0.013740814854105401,0.9770744080892895,981219.5745728523,test_legacy,0.024180035590516624,True,42,-0.35479115135297523,XLK,10000,0.0,0.011224489795918367
ppo_standalone,-0.0005694495008928062,0.006483343414884147,0.9854320089002199,997787.2950422056,test_legacy,0.014965183196995469,True,7,-0.08785555781194074,XLF,10000,0.0,0.011224489795918367
ppo_standalone,-0.0015170458770060132,0.006493865698639061,0.9837641688693086,994113.2925764757,test_legacy,0.01623583113069138,True,19,-0.23378380684840927,XLF,10000,0.0,0.01020408163265306
ppo_standalone,-0.002417909395890205,0.011486407717441785,0.9729398687129656,990629.8092949255,test_legacy,0.02846898668077702,True,42,-0.21075377635289727,XLF,10000,0.0,0.017346938775510204
ppo_standalone,0.02632886097840711,0.06994865567957573,0.9481647997957069,1106348.8954317626,test_legacy,0.12730739817987047,False,7,0.37153199627254063,XLE,10000,-0.004767787471525331,0.05
ppo_standalone,0.008219276424027177,0.018768271856522065,0.9925158073995319,1032345.3042854003,test_legacy,0.0232517166542745,True,19,0.4361410018945419,XLE,10000,0.0,0.02040816326530612
ppo_standalone,0.019920419420597957,0.03810175094501352,0.9895732009587136,1079725.447598157,test_legacy,0.03444914657974729,True,42,0.5176801960058239,XLE,10000,0.0,0.03163265306122449
ppo_standalone,-0.0018396449370120323,0.006405184126245596,0.985251101081231,992864.8137716753,test_legacy,0.01713016520808841,True,7,-0.28746925791741895,XLV,10000,0.0,0.013265306122448979
ppo_standalone,-0.0006538949964527173,0.008903443270119969,0.9895140526160271,997459.4758558568,test_legacy,0.020841359268456094,True,19,-0.07346564659025036,XLV,10000,0.0,0.018367346938775512
ppo_standalone,-0.0016528529479928101,0.009314892103808608,0.9838670813676085,993587.5685575876,test_legacy,0.023340021731096394,True,42,-0.1775857634366182,XLV,10000,0.0,0.0163265306122449
ppo_standalone,-0.0016852685710148933,0.007729799612051477,0.9866489561484545,993462.1146747556,test_legacy,0.022964823216670927,True,7,-0.21820172317193845,XLU,10000,0.0,0.011224489795918367
ppo_standalone,-0.0013332991692134788,0.006426522325222611,0.9881205188495186,994824.925065689,test_legacy,0.019323947867906366,True,19,-0.20760152694831874,XLU,10000,0.0,0.011224489795918367
ppo_standalone,0.00162824208599512,0.01179680652364585,0.9976512251760128,1006346.9602172492,test_legacy,0.02853915166304133,True,42,0.13790986918685685,XLU,10000,0.0,0.017346938775510204
