date,portfolio_value,seed,agent,uncertainty
2022-02-01,1000000.0,19,ppo_with_uncertainty_guard,0.18526296
2022-02-02,1004522.0092671451,19,ppo_with_uncertainty_guard,0.18526296
2022-02-03,993887.3522504608,19,ppo_with_uncertainty_guard,0.109284334
2022-02-04,995684.7403015802,19,ppo_with_uncertainty_guard,0.20469129
2022-02-07,994429.0473618184,19,ppo_with_uncertainty_guard,0.23059572
2022-02-08,997196.231435476,19,ppo_with_uncertainty_guard,0.2685272
2022-02-09,1002475.2315293527,19,ppo_with_uncertainty_guard,0.25187436
2022-02-10,995462.4288647063,19,ppo_with_uncertainty_guard,0.18746021
2022-02-11,986894.7581508623,19,ppo_with_uncertainty_guard,0.2562689
2022-02-14,985331.4441379178,19,ppo_with_uncertainty_guard,0.37630817
2022-02-15,992809.2221490117,19,ppo_with_uncertainty_guard,0.43436188
2022-02-16,993337.4015821267,19,ppo_with_uncertainty_guard,0.37492043
2022-02-17,983076.9703419324,19,ppo_with_uncertainty_guard,0.34034264
2022-02-18,980221.3556124673,19,ppo_with_uncertainty_guard,0.41724643
2022-02-22,975574.60356975,19,ppo_with_uncertainty_guard,0.46292612
2022-02-23,967976.3289780907,19,ppo_with_uncertainty_guard,0.5157758
2022-02-24,973917.977909143,19,ppo_with_uncertainty_guard,0.59557074
2022-02-25,982459.807308088,19,ppo_with_uncertainty_guard,0.52884364
2022-02-28,981445.6515870994,19,ppo_with_uncertainty_guard,0.38116527
2022-03-01,975424.4846124828,19,ppo_with_uncertainty_guard,0.3224177
2022-03-02,983027.8145745114,19,ppo_with_uncertainty_guard,0.36000225
2022-03-03,980723.9822763312,19,ppo_with_uncertainty_guard,0.28390798
2022-03-04,976693.3561206474,19,ppo_with_uncertainty_guard,0.28043863
2022-03-07,962362.2853522536,19,ppo_with_uncertainty_guard,0.3149008
2022-03-08,958936.2115012443,19,ppo_with_uncertainty_guard,0.46373564
2022-03-09,970879.3472124471,19,ppo_with_uncertainty_guard,0.5412177
2022-03-10,968835.361989459,19,ppo_with_uncertainty_guard,0.4321646
2022-03-11,963122.8682473323,19,ppo_with_uncertainty_guard,0.39781812
2022-03-14,959881.3603292829,19,ppo_with_uncertainty_guard,0.42580414
2022-03-15,969563.9028069536,19,ppo_with_uncertainty_guard,0.454831
2022-03-16,979454.9958341027,19,ppo_with_uncertainty_guard,0.35225406
2022-03-17,984703.463502869,19,ppo_with_uncertainty_guard,0.20827629
2022-03-18,989825.0983385043,19,ppo_with_uncertainty_guard,0.10084227
2022-03-21,989625.9635333798,19,ppo_with_uncertainty_guard,0.025210567
2022-03-22,995494.3117444683,19,ppo_with_uncertainty_guard,0.024054118
2022-03-23,989502.2504469317,19,ppo_with_uncertainty_guard,0.0
2022-03-24,995948.3034933917,19,ppo_with_uncertainty_guard,0.08384248
2022-03-25,998204.7227687157,19,ppo_with_uncertainty_guard,0.07459089
2022-03-28,1001844.2294869203,19,ppo_with_uncertainty_guard,0.07933233
2022-03-29,1008147.245789032,19,ppo_with_uncertainty_guard,0.07378138
2022-03-30,1004629.945794308,19,ppo_with_uncertainty_guard,0.042094707
2022-03-31,996223.7432305915,19,ppo_with_uncertainty_guard,0.087658755
2022-04-01,997584.6874168637,19,ppo_with_uncertainty_guard,0.19914034
2022-04-04,1001600.0394549591,19,ppo_with_uncertainty_guard,0.2447044
2022-04-05,995907.9819083111,19,ppo_with_uncertainty_guard,0.23533717
2022-04-06,991860.8270186994,19,ppo_with_uncertainty_guard,0.2989418
2022-04-07,993606.7966767274,19,ppo_with_uncertainty_guard,0.37052593
2022-04-08,992558.1597195682,19,ppo_with_uncertainty_guard,0.3712198
2022-04-11,986318.7339986482,19,ppo_with_uncertainty_guard,0.37862107
2022-04-12,985034.7335649335,19,ppo_with_uncertainty_guard,0.45089906
2022-04-13,988941.7433221492,19,ppo_with_uncertainty_guard,0.48085108
2022-04-14,985028.4007337089,19,ppo_with_uncertainty_guard,0.42430076
2022-04-18,985154.9346887122,19,ppo_with_uncertainty_guard,0.4458107
2022-04-19,990124.3279559468,19,ppo_with_uncertainty_guard,0.43389928
2022-04-20,989882.4144845016,19,ppo_with_uncertainty_guard,0.34277117
2022-04-21,986437.5011711525,19,ppo_with_uncertainty_guard,0.30507097
2022-04-22,979589.8296836931,19,ppo_with_uncertainty_guard,0.3536418
2022-04-25,981050.5000534862,19,ppo_with_uncertainty_guard,0.49276248
2022-04-26,973650.3241699252,19,ppo_with_uncertainty_guard,0.50305486
2022-04-27,974210.5755196956,19,ppo_with_uncertainty_guard,0.6240193
2022-04-28,979582.3592938924,19,ppo_with_uncertainty_guard,0.62378806
2022-04-29,972356.621565654,19,ppo_with_uncertainty_guard,0.47923204
2022-05-02,973486.4235206689,19,ppo_with_uncertainty_guard,0.57140094
2022-05-03,974352.0119360525,19,ppo_with_uncertainty_guard,0.544687
2022-05-04,980128.7281053035,19,ppo_with_uncertainty_guard,0.49033394
2022-05-05,973181.2034754984,19,ppo_with_uncertainty_guard,0.3100437
2022-05-06,972324.9368398432,19,ppo_with_uncertainty_guard,0.3988589
2022-05-09,968048.014165671,19,ppo_with_uncertainty_guard,0.44361344
2022-05-10,968346.7818839806,19,ppo_with_uncertainty_guard,0.5975367
2022-05-11,966287.8851122537,19,ppo_with_uncertainty_guard,0.6170806
2022-05-12,966155.0328856102,19,ppo_with_uncertainty_guard,0.6687739
2022-05-13,968984.2273636204,19,ppo_with_uncertainty_guard,0.6536244
2022-05-16,968492.1982321866,19,ppo_with_uncertainty_guard,0.502361
2022-05-17,970976.555449275,19,ppo_with_uncertainty_guard,0.43713734
2022-05-18,966007.8507503455,19,ppo_with_uncertainty_guard,0.2974384
2022-05-19,965244.433061579,19,ppo_with_uncertainty_guard,0.4259198
2022-05-20,965298.1185371564,19,ppo_with_uncertainty_guard,0.48536122
2022-05-23,967600.3912826322,19,ppo_with_uncertainty_guard,0.49241555
2022-05-24,966846.1463295341,19,ppo_with_uncertainty_guard,0.39296103
2022-05-25,967677.3337247667,19,ppo_with_uncertainty_guard,0.37746462
2022-05-26,969830.76543364,19,ppo_with_uncertainty_guard,0.3192953
2022-05-27,973532.3980850051,19,ppo_with_uncertainty_guard,0.20492259
2022-05-31,972226.1635419164,19,ppo_with_uncertainty_guard,0.057244174
2022-06-01,970949.6068927152,19,ppo_with_uncertainty_guard,0.04764566
2022-06-02,975179.5722707822,19,ppo_with_uncertainty_guard,0.10384903
2022-06-03,972409.6628095557,19,ppo_with_uncertainty_guard,0.0645298
2022-06-06,972919.072388796,19,ppo_with_uncertainty_guard,0.15265113
2022-06-07,975016.6258475219,19,ppo_with_uncertainty_guard,0.19012006
2022-06-08,972880.09476122,19,ppo_with_uncertainty_guard,0.17843993
2022-06-09,968557.229463193,19,ppo_with_uncertainty_guard,0.23950037
2022-06-10,965109.3814316773,19,ppo_with_uncertainty_guard,0.3794306
2022-06-13,960378.6070505453,19,ppo_with_uncertainty_guard,0.5630745
2022-06-14,960018.2295381369,19,ppo_with_uncertainty_guard,0.7893914
2022-06-15,961718.0380793547,19,ppo_with_uncertainty_guard,0.84559476
2022-06-16,957715.6765197029,19,ppo_with_uncertainty_guard,0.75215375
2022-06-17,957901.9818907477,19,ppo_with_uncertainty_guard,0.8167992
2022-06-21,960326.1610022442,19,ppo_with_uncertainty_guard,0.7704257
2022-06-22,960147.1709911424,19,ppo_with_uncertainty_guard,0.5890946
2022-06-23,961113.1524511612,19,ppo_with_uncertainty_guard,0.49056524
2022-06-24,964276.9490203471,19,ppo_with_uncertainty_guard,0.37746462
2022-06-27,964036.0047579336,19,ppo_with_uncertainty_guard,0.17901815
2022-06-28,961980.2475777977,19,ppo_with_uncertainty_guard,0.12709363
2022-06-29,961857.3772406314,19,ppo_with_uncertainty_guard,0.21232384
2022-06-30,961349.3632765991,19,ppo_with_uncertainty_guard,0.25869742
2022-07-01,962522.323408694,19,ppo_with_uncertainty_guard,0.32357416
2022-07-05,962580.3416592586,19,ppo_with_uncertainty_guard,0.30241114
2022-07-06,962648.4906693326,19,ppo_with_uncertainty_guard,0.28795555
2022-07-07,963015.2948098289,19,ppo_with_uncertainty_guard,0.267949
2022-07-08,962990.1110138636,19,ppo_with_uncertainty_guard,0.19624922
2022-07-11,962990.1110138636,19,ppo_with_uncertainty_guard,0.18237185
2022-07-12,962990.1110138636,19,ppo_with_uncertainty_guard,0.2392691
2022-07-13,962990.1110138636,19,ppo_with_uncertainty_guard,0.3090029
2022-07-14,962761.9637003721,19,ppo_with_uncertainty_guard,0.36231515
2022-07-15,963432.1979781807,19,ppo_with_uncertainty_guard,0.39157328
2022-07-18,963123.8934042682,19,ppo_with_uncertainty_guard,0.310275
2022-07-19,963086.8637529416,19,ppo_with_uncertainty_guard,0.31478515
2022-07-20,963086.8637529416,19,ppo_with_uncertainty_guard,0.19150779
2022-07-21,963086.8637529416,19,ppo_with_uncertainty_guard,0.12720928
2022-07-22,963086.8637529416,19,ppo_with_uncertainty_guard,0.07008075
2022-07-25,963106.0974370842,19,ppo_with_uncertainty_guard,0.11391012
2022-07-26,961772.061087001,19,ppo_with_uncertainty_guard,0.14594373
2022-07-27,966436.1329777371,19,ppo_with_uncertainty_guard,0.23244604
2022-07-28,969473.9242437859,19,ppo_with_uncertainty_guard,0.16028368
2022-07-29,973765.2389602405,19,ppo_with_uncertainty_guard,0.095638245
2022-08-01,972630.4270432822,19,ppo_with_uncertainty_guard,0.024632342
2022-08-02,970536.9242439399,19,ppo_with_uncertainty_guard,0.039087944
2022-08-03,974792.3250475116,19,ppo_with_uncertainty_guard,0.10199871
2022-08-04,974499.6417843774,19,ppo_with_uncertainty_guard,0.08072007
2022-08-05,973878.908013086,19,ppo_with_uncertainty_guard,0.10384903
2022-08-08,973450.0752366756,19,ppo_with_uncertainty_guard,0.14235875
2022-08-09,972097.3405668761,19,ppo_with_uncertainty_guard,0.1822562
2022-08-10,977914.4731792919,19,ppo_with_uncertainty_guard,0.23175217
2022-08-11,977867.7995112268,19,ppo_with_uncertainty_guard,0.16733803
2022-08-12,982523.7883775414,19,ppo_with_uncertainty_guard,0.15924288
2022-08-15,983703.9475212474,19,ppo_with_uncertainty_guard,0.09401922
2022-08-16,984224.5361847178,19,ppo_with_uncertainty_guard,0.07262494
2022-08-17,982635.9866510957,19,ppo_with_uncertainty_guard,0.07933233
2022-08-18,982989.0902002187,19,ppo_with_uncertainty_guard,0.1388894
2022-08-19,981164.5875584901,19,ppo_with_uncertainty_guard,0.16895705
2022-08-22,977202.9357403374,19,ppo_with_uncertainty_guard,0.26008517
2022-08-23,976701.4961245175,19,ppo_with_uncertainty_guard,0.39828068
2022-08-24,977341.4533425573,19,ppo_with_uncertainty_guard,0.45749083
2022-08-25,980172.8584739362,19,ppo_with_uncertainty_guard,0.45575616
2022-08-26,973288.2975508637,19,ppo_with_uncertainty_guard,0.37630817
2022-08-29,971855.7535992649,19,ppo_with_uncertainty_guard,0.49206862
2022-08-30,969521.9473696178,19,ppo_with_uncertainty_guard,0.54329926
2022-08-31,967922.128845254,19,ppo_with_uncertainty_guard,0.5915232
2022-09-01,968551.0600441744,19,ppo_with_uncertainty_guard,0.6152303
2022-09-02,966409.9238490704,19,ppo_with_uncertainty_guard,0.5767206
2022-09-06,965651.773035873,19,ppo_with_uncertainty_guard,0.5792648
2022-09-07,969247.6929357942,19,ppo_with_uncertainty_guard,0.564231
2022-09-08,970579.4736947403,19,ppo_with_uncertainty_guard,0.4481236
2022-09-09,973765.5756759162,19,ppo_with_uncertainty_guard,0.3557234
2022-09-12,975655.3603255004,19,ppo_with_uncertainty_guard,0.2377657
2022-09-13,967516.7941562156,19,ppo_with_uncertainty_guard,0.1466376
2022-09-14,967875.3055333163,19,ppo_with_uncertainty_guard,0.32461494
2022-09-15,966553.858364299,19,ppo_with_uncertainty_guard,0.3729545
2022-09-16,965217.7270840238,19,ppo_with_uncertainty_guard,0.44430733
2022-09-19,966511.6822943364,19,ppo_with_uncertainty_guard,0.49391893
2022-09-20,965004.9896823099,19,ppo_with_uncertainty_guard,0.45980373
2022-09-21,962802.244475476,19,ppo_with_uncertainty_guard,0.4824701
2022-09-22,961760.0396659134,19,ppo_with_uncertainty_guard,0.5495441
2022-09-23,959779.6946135279,19,ppo_with_uncertainty_guard,0.58770686
2022-09-26,958632.9729690496,19,ppo_with_uncertainty_guard,0.65038633
2022-09-27,958340.0009124926,19,ppo_with_uncertainty_guard,0.68161047
2022-09-28,960592.440203162,19,ppo_with_uncertainty_guard,0.66565144
2022-09-29,958251.9205712277,19,ppo_with_uncertainty_guard,0.5309253
2022-09-30,956559.0372784333,19,ppo_with_uncertainty_guard,0.54607475
2022-10-03,959404.628731262,19,ppo_with_uncertainty_guard,0.5895572
2022-10-04,962832.6153473256,19,ppo_with_uncertainty_guard,0.45725954
2022-10-05,962567.0682436515,19,ppo_with_uncertainty_guard,0.2509492
2022-10-06,961985.5065576448,19,ppo_with_uncertainty_guard,0.17994331
2022-10-07,961519.3120254537,19,ppo_with_uncertainty_guard,0.20399742
2022-10-10,960821.9583626788,19,ppo_with_uncertainty_guard,0.3510976
2022-10-11,960460.1878426641,19,ppo_with_uncertainty_guard,0.4409536
2022-10-12,960404.8772970074,19,ppo_with_uncertainty_guard,0.49576926
2022-10-13,960441.0175706457,19,ppo_with_uncertainty_guard,0.5153132
2022-10-14,960408.9865971681,19,ppo_with_uncertainty_guard,0.3831312
2022-10-17,960407.6130808154,19,ppo_with_uncertainty_guard,0.42626673
2022-10-18,960407.6130808154,19,ppo_with_uncertainty_guard,0.30911854
2022-10-19,960407.6130808154,19,ppo_with_uncertainty_guard,0.21070482
2022-10-20,959696.1702709697,19,ppo_with_uncertainty_guard,0.20873886
2022-10-21,963025.7129381362,19,ppo_with_uncertainty_guard,0.25314647
2022-10-24,964291.3504392556,19,ppo_with_uncertainty_guard,0.16814753
2022-10-25,966641.8756896341,19,ppo_with_uncertainty_guard,0.09691034
2022-10-26,965050.2253381221,19,ppo_with_uncertainty_guard,0.01688414
2022-10-27,963492.178773642,19,ppo_with_uncertainty_guard,0.049495973
2022-10-28,968445.161989652,19,ppo_with_uncertainty_guard,0.11194417
2022-10-31,966873.2196285499,19,ppo_with_uncertainty_guard,0.054121766
2022-11-01,966168.5369850624,19,ppo_with_uncertainty_guard,0.09575389
2022-11-02,960610.618385788,19,ppo_with_uncertainty_guard,0.15392323
2022-11-03,957925.1569426992,19,ppo_with_uncertainty_guard,0.3108532
2022-11-04,961563.2980933151,19,ppo_with_uncertainty_guard,0.42221916
2022-11-07,964016.7409762049,19,ppo_with_uncertainty_guard,0.39481133
2022-11-08,965413.8419091438,19,ppo_with_uncertainty_guard,0.335023
2022-11-09,959798.7637188276,19,ppo_with_uncertainty_guard,0.28159508
2022-11-10,976824.3367219537,19,ppo_with_uncertainty_guard,0.35433567
2022-11-11,980016.4378756494,19,ppo_with_uncertainty_guard,0.13414797
