agent,annualized_return,annualized_volatility,capital_preservation_rate_95pct_hwm,drawdown_floor,fast_window,final_portfolio_value,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,slow_window,ticker,var_95,var_95_violation_rate
stop_loss_5pct,0.054187365290617365,0.12453555753191906,0.9905298271139525,0.05,20,1233203.1385948085,0.2522861434017294,True,-1,0.42373546986057475,50,SPY,-0.013954223435492352,0.04995004995004995
stop_loss_10pct,0.055896481278121975,0.13315849313298786,0.9951186923772686,0.1,20,1241164.147728803,0.2994738954437809,True,-1,0.40846126495799745,50,SPY,-0.014456314629001099,0.04995004995004995
stop_loss_5pct,0.05916004326456741,0.163367768347044,0.9676060242405908,0.05,20,1256472.4695422885,0.2833706450752894,True,-1,0.35182047668788,50,QQQ,-0.018005422660669623,0.04995004995004995
stop_loss_10pct,0.04317436236061103,0.1759008776652963,0.9755540737820539,0.1,20,1182817.4041811791,0.41573719737917736,True,-1,0.24029611645745458,50,QQQ,-0.01968963304846305,0.04995004995004995
stop_loss_5pct,0.045771948257103,0.17646596574238982,0.965328781117904,0.05,20,1194560.1871156932,0.23066903119693283,True,-1,0.2536198905232458,50,IWM,-0.017752105605083557,0.04995004995004995
stop_loss_10pct,-0.01766611391244207,0.17895068863918204,0.93164729278446,0.1,20,931647.29278446,0.30683645049660846,False,-1,-0.09960289363293269,50,IWM,-0.0191987266388729,0.04995004995004995
stop_loss_5pct,0.00938089534340305,0.1667698955179657,0.8769366416804317,0.05,20,1037785.6974187555,0.2746409118249685,False,-1,0.05598827703798854,50,XLK,-0.018302401356161013,0.04995004995004995
stop_loss_10pct,0.046855422844496376,0.19495390458368872,0.9520983436207782,0.1,20,1199483.8910815222,0.39596385176750926,True,-1,0.23488012769841216,50,XLK,-0.022047393886852618,0.04995004995004995
stop_loss_5pct,0.05736115796720694,0.133047383464873,0.9349777867096625,0.05,20,1248017.1101980947,0.16939641413880802,False,-1,0.4192210520374268,50,XLF,-0.013760951599799398,0.04995004995004995
stop_loss_10pct,0.01800136152769395,0.15033889064545605,0.9257629304073767,0.1,20,1073441.0595487296,0.2702525913726703,False,-1,0.11867346277161105,50,XLF,-0.016277003206100815,0.04995004995004995
stop_loss_5pct,0.11152860171850758,0.22781491194207598,0.8451523383182366,0.05,20,1521973.168579521,0.28060340924900773,False,-1,0.464131658684281,50,XLE,-0.024115222382780743,0.04995004995004995
stop_loss_10pct,0.05709792818415664,0.24197377717953764,0.7657673112413453,0.1,20,1246783.422962217,0.3651577463989085,False,-1,0.22947657429767598,50,XLE,-0.025182960586807468,0.04995004995004995
stop_loss_5pct,-0.043386772291543876,0.10994209125502172,0.8384566776548523,0.05,20,838456.6776548523,0.2687510459979682,False,-1,-0.40344926536377723,50,XLV,-0.011632460563014035,0.04995004995004995
stop_loss_10pct,-0.007035520760471873,0.12956433487480973,0.9330530019891505,0.1,20,972344.196977682,0.23357475277645268,False,-1,-0.05449322216365129,50,XLV,-0.013695029874869036,0.04995004995004995
stop_loss_5pct,0.00353382185903432,0.1384150872699159,0.9155899252730428,0.05,20,1014111.0152222698,0.25484506447410693,False,-1,0.025485578238328845,50,XLU,-0.01544423533041872,0.04995004995004995
stop_loss_10pct,-0.003458736770243451,0.14635202522299362,0.9022527019624246,0.1,20,986331.5872223628,0.3478457445483555,False,-1,-0.023673934575701192,50,XLU,-0.01644473566400073,0.04995004995004995
