agent,annualized_return,annualized_volatility,bootstrap_paths,capital_preservation_rate_95pct_hwm,device,final_portfolio_value,fold_id,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,test_window,ticker,timesteps,train_window,var_95,var_95_violation_rate
ppo_standalone,-0.012087002470183968,0.0313250535645757,16,0.9771030740073323,cpu,977103.0740073323,wf_2018_2019,0.0430471442600866,True,7,-0.38820628482402186,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,-0.0005717605710115589,0.05
ppo_with_uncertainty_guard,0.02097465601696732,0.068685231771085,16,0.9998680481793591,cpu,1040330.5581090734,wf_2018_2019,0.100971313591529,True,7,0.3022144303504064,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,-0.008008947534346954,0.05
ppo_standalone,-0.010287800626472554,0.021783771973033633,16,0.9804954181544253,cpu,980495.4181544253,wf_2018_2019,0.03942917777421895,True,13,-0.474711655784257,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,0.0,0.020833333333333332
ppo_with_uncertainty_guard,0.059751539534027474,0.10063198452862608,16,0.9998111796209296,cpu,1116883.1167190177,wf_2018_2019,0.13528428357825328,True,13,0.5766992741566344,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,-0.012184522784606421,0.05
ppo_standalone,-0.013323233807747708,0.018440911362186424,16,0.9747754319469969,cpu,974775.431946997,wf_2018_2019,0.034042811247361304,True,19,-0.72733221558455,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,0.0,0.01875
ppo_with_uncertainty_guard,0.016867728925595918,0.0782335889423638,16,0.9993781011284081,cpu,1032374.0416640283,wf_2018_2019,0.13436323412345552,True,19,0.21380860624514042,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,-0.00788240133779885,0.05
ppo_standalone,-0.007080250178532832,0.019365819278637245,16,0.9865570147806533,cpu,986557.0147806533,wf_2018_2019,0.03319842421609687,True,23,-0.3669029306861836,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,0.0,0.029166666666666667
ppo_with_uncertainty_guard,0.1058824536584204,0.13986422337115614,16,0.9997525498586349,cpu,1211309.6471949164,wf_2018_2019,0.19341073683481402,True,23,0.7195800341086598,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,-0.01685134706680138,0.05
ppo_standalone,-0.010091741482365597,0.022950296240514013,16,0.9808654195494741,cpu,980865.4195494741,wf_2018_2019,0.04073975590502288,True,29,-0.4419523847276246,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,0.0,0.03125
ppo_with_uncertainty_guard,0.04884147290275838,0.0637944833660614,16,0.99978011759418,cpu,1095083.7554031508,wf_2018_2019,0.05997184231280539,True,29,0.7474953115547627,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,-0.005870536718298602,0.05
ppo_standalone,-0.012376251019670187,0.020220296622729606,16,0.9765582251563573,cpu,976558.2251563573,wf_2018_2019,0.036733661474792734,True,37,-0.6158849743260203,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,0.0,0.01875
ppo_with_uncertainty_guard,0.10372070731442595,0.13840456026877998,16,0.9997525498699288,cpu,1206803.47900352,wf_2018_2019,0.19310194387228408,True,37,0.7130315645848827,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,-0.016405714327753704,0.05
ppo_standalone,-0.010268278309128572,0.04541561678206293,16,0.9650239388026132,cpu,980532.2575575517,wf_2018_2019,0.04534613583406655,True,42,-0.22726377891106575,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,-0.004318492302053389,0.05
ppo_with_uncertainty_guard,0.09673720811508506,0.13168085602517102,16,0.999754937437856,cpu,1192300.8738176294,wf_2018_2019,0.17744728233552332,True,42,0.7012369832569118,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,-0.016330019962234755,0.05
ppo_standalone,-0.015107917392447405,0.01754609849159266,16,0.9714197865005002,cpu,971419.7865005002,wf_2018_2019,0.033012987941059335,True,53,-0.867604094220759,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,0.0,0.014583333333333334
ppo_with_uncertainty_guard,0.05707873457503179,0.10484077772489128,16,0.9998128556383046,cpu,1111523.7212730907,wf_2018_2019,0.14297462890958446,True,53,0.5294610550140747,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,-0.012748096314070612,0.05
ppo_standalone,-0.009215779496370872,0.015469494102752718,16,0.9825193385803567,cpu,982519.3385803567,wf_2018_2019,0.02857381213858956,True,67,-0.598494846687284,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,0.0,0.016666666666666666
ppo_with_uncertainty_guard,0.10845846556446728,0.13776015014253368,16,0.9997525498584645,cpu,1216689.7693969572,wf_2018_2019,0.1934626058082194,True,67,0.7474597085291004,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,-0.016001663970924705,0.05
ppo_standalone,-0.00351870713572098,0.0372154847329284,16,0.9933083705805581,cpu,993308.3705805581,wf_2018_2019,0.0430471442600866,True,89,-0.09471587796798418,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,-0.002300355046419611,0.05
ppo_with_uncertainty_guard,0.1019967865547786,0.13532053550907874,16,0.999752549860097,cpu,1203215.6778036822,wf_2018_2019,0.1930957218017717,True,89,0.7177305381840342,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,-0.01568306844380771,0.05
ppo_standalone,0.001618266174028805,0.010978429916913118,16,0.9810991917858185,cpu,1003097.5408636403,wf_2020_2021,0.020193498979114488,True,7,0.1472828832580352,2020-01-01/2021-12-31,SPY,50000,2009-01-01/2019-12-31,0.0,0.024896265560165973
ppo_with_uncertainty_guard,0.09096270171435805,0.08631418904597497,16,1.0,cpu,1181187.769506517,wf_2020_2021,0.11936732869216549,True,7,1.0086448110695876,2020-01-01/2021-12-31,SPY,50000,2009-01-01/2019-12-31,-0.008654448554163441,0.05186721991701245
ppo_standalone,-0.0032771955889079308,0.013150008702733324,16,0.9709508997359472,cpu,993741.0886026021,wf_2020_2021,0.02904910026405283,True,13,-0.2496224758113633,2020-01-01/2021-12-31,SPY,50000,2009-01-01/2019-12-31,0.0,0.022821576763485476
ppo_with_uncertainty_guard,0.057852673472435785,0.07661388540435829,16,1.0,cpu,1113571.2715206135,wf_2020_2021,0.12263158034782917,True,13,0.7340830827853226,2020-01-01/2021-12-31,SPY,50000,2009-01-01/2019-12-31,-0.006662841210302517,0.05186721991701245
