agent,annualized_return,annualized_volatility,capital_preservation_rate_95pct_hwm,final_portfolio_value,fold_id,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,ticker,timesteps,var_95,var_95_violation_rate
ppo_standalone,-0.00446661677913371,0.008795570182298935,0.9796850853819585,982741.5773304214,test_legacy,0.021988677554132807,True,7,-0.5089540563013605,AAPL,10000,0.0,0.011224489795918367
ppo_standalone,-0.0036271026573011307,0.006583174680509755,0.9829018047222655,985968.3324229419,test_legacy,0.017098195277734485,True,19,-0.5519538975980559,AAPL,10000,0.0,0.011224489795918367
ppo_standalone,-0.003574326571397292,0.010259694976314829,0.9816001775597859,986171.4450863943,test_legacy,0.019453252746773675,True,42,-0.3490039757304057,AAPL,10000,0.0,0.011224489795918367
ppo_standalone,-0.0035583715266863567,0.019250191115382217,0.9719315354884391,986232.8553723379,test_legacy,0.0340993653777697,True,7,-0.1851767690141875,AMAT,10000,0.0,0.013265306122448979
ppo_standalone,-0.0019218222175184643,0.011077404732836431,0.9857159644654238,992546.9687182326,test_legacy,0.018401666619154655,True,19,-0.17365472931902762,AMAT,10000,0.0,0.01020408163265306
ppo_standalone,-0.004105240746131333,0.025732309944561115,0.9646775104723976,984129.5984984078,test_legacy,0.041848280125111215,True,42,-0.15986380590431207,AMAT,10000,0.0,0.013265306122448979
ppo_standalone,0.0006858553498909034,0.028953962242003684,0.952639079170732,1002669.8587474808,test_legacy,0.054041777070145014,True,7,0.02367953974159926,AMD,10000,0.0,0.007142857142857143
ppo_standalone,-2.2074376482332105e-05,0.02327169837891896,0.9583941029671642,999914.1579397096,test_legacy,0.04309807337711269,True,19,-0.000948554299184104,AMD,10000,0.0,0.007142857142857143
ppo_standalone,-0.0034955136116664666,0.0448985193700346,0.9229702044957624,986474.8204459385,test_legacy,0.07971765294450017,False,42,-0.07798976140457027,AMD,10000,0.0,0.013265306122448979
ppo_standalone,-0.0014086353284596383,0.01720050288138537,0.9820390836591613,994533.1099553303,test_legacy,0.024746832850323197,True,7,-0.08195198641179582,AVGO,10000,0.0,0.012244897959183673
ppo_standalone,-0.0024385307791148585,0.013336167761451845,0.9826095210596613,990550.1762890463,test_legacy,0.018969015279109103,True,19,-0.18307206534546008,AVGO,10000,0.0,0.009183673469387756
ppo_standalone,-0.0020070580242333353,0.02270889274822174,0.9768734140041483,992217.3737712144,test_legacy,0.03149335267373499,True,42,-0.08847022363942283,AVGO,10000,0.0,0.015306122448979591
ppo_standalone,0.0032393620518161035,0.011385886121579342,0.9834105987904488,1012656.5841815822,test_legacy,0.016589401209551213,True,7,0.28404302457042147,AXP,10000,0.0,0.012244897959183673
ppo_standalone,0.0031345350410632426,0.007109510261902956,0.9910809438429258,1012245.1590504772,test_legacy,0.008919056157074223,True,19,0.44019385781256687,AXP,10000,0.0,0.009183673469387756
ppo_standalone,0.001004177179229966,0.018754225199820368,0.9665146601595671,1003910.8013676663,test_legacy,0.039439710418124,True,42,0.05351673153056549,AXP,10000,0.0,0.014285714285714285
ppo_standalone,-0.00076697936170023,0.006402341672097998,0.989271328894813,997020.6052953295,test_legacy,0.010728671105187049,True,7,-0.1198396861939646,C,10000,0.0,0.011224489795918367
ppo_standalone,-0.002600320601616644,0.006610308894918924,0.9848710062049207,989925.5621596336,test_legacy,0.01512899379507926,True,19,-0.39387641681599034,C,10000,0.0,0.012244897959183673
ppo_standalone,-0.007385698111759458,0.01286808751925431,0.9585188435203305,971582.8327287665,test_legacy,0.041481156479669545,True,42,-0.5760775220724209,C,10000,0.0,0.017346938775510204
ppo_standalone,-0.005742780286790922,0.008006881406346337,0.9778515519142895,977851.5519142895,test_legacy,0.022606877259011893,True,7,-0.7192836984880256,CAT,10000,0.0,0.012244897959183673
