agent,annualized_return,annualized_volatility,bootstrap_paths,capital_preservation_rate_95pct_hwm,final_portfolio_value,fold_id,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,ticker,timesteps,var_95,var_95_violation_rate
ppo_with_uncertainty_guard,0.1342446190266858,0.17373126954276505,0,0.9963353181661891,1632106.0893557067,test_legacy,0.20811569106117533,True,7,0.7250668270652267,SPY,50000,-0.016455607524576355,0.05
ppo_with_uncertainty_guard,0.13303981440310142,0.1763331233204577,0,0.9963353181661715,1625374.5031198217,test_legacy,0.2158955814687703,True,13,0.7083411631458358,SPY,50000,-0.016455730134810498,0.05
ppo_with_uncertainty_guard,0.1351262942215049,0.17336202751469046,0,0.9963353181661715,1637045.3666223763,test_legacy,0.20670036574634743,True,19,0.7310932096517642,SPY,50000,-0.0164557301165126,0.05
ppo_with_uncertainty_guard,0.06219634790600386,0.08605442453536757,0,0.9978577912493024,1264467.2066865405,test_legacy,0.10456466131534092,True,23,0.7011688217451163,SPY,50000,-0.008412342412001372,0.05
ppo_with_uncertainty_guard,0.13402354999195676,0.1749738680747122,0,0.9963353181661715,1630869.3652128447,test_legacy,0.21221114560649756,True,29,0.718803667976017,SPY,50000,-0.016455730135448477,0.05
ppo_with_uncertainty_guard,0.1365182260794269,0.16960543572015307,0,0.9963353181678937,1644865.7706071844,test_legacy,0.20008625218858322,True,37,0.7545116752239845,SPY,50000,-0.01610874043715711,0.05
ppo_with_uncertainty_guard,0.13346205573529255,0.1756941991102663,0,0.9963353181662001,1627731.333448184,test_legacy,0.21430375598597806,True,42,0.7130377811992964,SPY,50000,-0.016455701150371472,0.05
ppo_with_uncertainty_guard,0.13356418497276762,0.17593351315260636,0,0.9963353181661716,1628301.7707076534,test_legacy,0.2155425320679345,True,53,0.7125799938252767,SPY,50000,-0.01645573013694026,0.05
ppo_with_uncertainty_guard,0.13688746621290312,0.17069280114191782,0,0.9963353181661715,1646944.9515825429,test_legacy,0.19638746858965828,True,67,0.7516082423552801,SPY,50000,-0.016455728081605427,0.05
ppo_with_uncertainty_guard,0.1352740926494701,0.17294982796985336,0,0.9963353181661717,1637874.4411246998,test_legacy,0.20390424052835598,True,89,0.7335884524193235,SPY,50000,-0.016455723468668547,0.05
ppo_with_uncertainty_guard,0.16791673548106004,0.2264875869947364,0,0.9778220342147166,1828762.541419243,test_legacy,0.270165599063645,True,7,0.68534212852161,QQQ,50000,-0.022262397602621765,0.05
ppo_with_uncertainty_guard,-0.0031780636081273576,0.015075125604762396,0,0.9838977830156894,987697.4853632111,test_legacy,0.027975035662897385,True,13,-0.21114854642538664,QQQ,50000,-7.963950417622094e-06,0.05
ppo_with_uncertainty_guard,0.16990173143919524,0.22422371650982884,0,0.9778220397482854,1840879.583477753,test_legacy,0.26121509051216396,True,19,0.6998351753620582,QQQ,50000,-0.022170490557989454,0.05
ppo_with_uncertainty_guard,-0.004401921024026829,0.015308785746897707,0,0.9792083700956682,982989.9624590144,test_legacy,0.02963139978680307,True,23,-0.28817388466995647,QQQ,50000,-3.2129181274509465e-05,0.05
ppo_with_uncertainty_guard,0.16996206102182282,0.22559707704061802,0,0.9778220342120985,1841248.7856115531,test_legacy,0.2671813780439376,True,29,0.6958033916512776,QQQ,50000,-0.022192261788995804,0.05
ppo_with_uncertainty_guard,0.16964350309317242,0.22282720184783744,0,0.9778222398299004,1839299.911267142,test_legacy,0.26464547260687676,True,37,0.7032305357466551,QQQ,50000,-0.022172968237248368,0.05
ppo_with_uncertainty_guard,0.1653949490829256,0.22837241068188457,0,0.9778220403453627,1813454.3286327699,test_legacy,0.279905160156821,True,42,0.6702207801859013,QQQ,50000,-0.02240882175818024,0.05
ppo_with_uncertainty_guard,0.1688390838747891,0.22613184193752703,0,0.9778220396443893,1834385.454164078,test_legacy,0.27260035040541974,True,53,0.6899112896107467,QQQ,50000,-0.022262224657830565,0.05
ppo_with_uncertainty_guard,0.17409173158947416,0.22160002478864266,0,0.9778220342549692,1866652.3801863543,test_legacy,0.24778177641772448,True,67,0.7242541577838917,QQQ,50000,-0.022186585226997034,0.05
ppo_with_uncertainty_guard,0.16921095026976352,0.22422075944954561,0,0.9778225019465585,1836656.0922366471,test_legacy,0.2613105741221944,True,89,0.697210238360383,QQQ,50000,-0.0221257628414679,0.05
ppo_with_uncertainty_guard,0.08172804174362963,0.21638243697895446,0,0.9725288847851189,1357317.5164072842,test_legacy,0.2750294633181466,True,7,0.3630597037008576,IWM,50000,-0.020653381450282636,0.05
ppo_with_uncertainty_guard,0.07408031671748826,0.2246445810738219,0,0.9725288769593019,1320378.6792158452,test_legacy,0.27503081036894383,True,13,0.3181235231198774,IWM,50000,-0.021320958715391036,0.05
ppo_with_uncertainty_guard,0.07885227195504743,0.21923356699885457,0,0.9725289641623407,1343338.5553396915,test_legacy,0.2750192651676887,True,19,0.34619566240537314,IWM,50000,-0.02079160291530959,0.05
ppo_with_uncertainty_guard,0.004323232381119387,0.02014199120519724,0,0.9967712958875246,1016917.8453660539,test_legacy,0.030204066602543822,True,23,0.21417346558596292,IWM,50000,-0.0016577672856840308,0.05
ppo_with_uncertainty_guard,0.07588721929557736,0.215996756464992,0,0.9732650878666607,1329037.8672488322,test_legacy,0.2684783274774595,True,29,0.33864206529958524,IWM,50000,-0.020491912428891722,0.05
ppo_with_uncertainty_guard,0.07584564958655299,0.21963982289718734,0,0.9725290144663195,1328838.1806646003,test_legacy,0.2750201493321959,True,37,0.33284924977517205,IWM,50000,-0.021281657943752474,0.05
ppo_with_uncertainty_guard,0.07319105350032713,0.22532174642038805,0,0.9725288768155633,1316132.5012067456,test_legacy,0.275030881122591,True,42,0.31349150540426596,IWM,50000,-0.021422766145258974,0.05
ppo_with_uncertainty_guard,0.07552923348840754,0.2227983669178274,0,0.9725288770560786,1327318.9569476135,test_legacy,0.27503079347890635,True,53,0.326810289430048,IWM,50000,-0.021306332624252276,0.05
ppo_with_uncertainty_guard,0.080540149389579,0.21746957025252248,0,0.9725291581849317,1351530.2025365452,test_legacy,0.27500969127070085,True,67,0.35619235279031064,IWM,50000,-0.02061681705225622,0.05
ppo_with_uncertainty_guard,0.0795916288129567,0.21958572910811344,0,0.972528878648943,1346922.2666889736,test_legacy,0.2750304969229964,True,89,0.3487603366018488,IWM,50000,-0.020810228640010295,0.05
ppo_with_uncertainty_guard,0.1891925890140408,0.2467152801411026,0,0.9607158466295377,1961766.9843047517,test_legacy,0.256562973041215,True,7,0.7023256468903554,XLK,50000,-0.02525850511648455,0.05
ppo_with_uncertainty_guard,0.1871221773018683,0.23481555573526097,0,0.9610067909638174,1948517.9222710764,test_legacy,0.25311267778024293,True,13,0.7304964243893907,XLK,50000,-0.02400383182254622,0.05
ppo_with_uncertainty_guard,0.18889757688233136,0.24765500000400298,0,0.9607158461028555,1959875.0545319666,test_legacy,0.25656302297420375,True,19,0.6986588635461553,XLK,50000,-0.025134993841803777,0.05
ppo_with_uncertainty_guard,-0.004844472818893003,0.01555941524990633,0,0.9774839706605843,981291.8133694583,test_legacy,0.032410486032463104,True,23,-0.31210657279657605,XLK,50000,-0.00016796621020107592,0.05
ppo_with_uncertainty_guard,0.19525927681556848,0.24314723694440946,0,0.960715846350098,2000974.6643741787,test_legacy,0.25656300136980015,True,29,0.7335596969485592,XLK,50000,-0.02503525237293367,0.05
ppo_with_uncertainty_guard,0.18769487470434093,0.2489642590275145,0,0.9607158460702242,1952176.0793778144,test_legacy,0.2584925424556819,True,37,0.6909194093519259,XLK,50000,-0.02528416757246079,0.05
ppo_with_uncertainty_guard,0.18424640945963167,0.2510655578047224,0,0.9607158873544874,1930225.6206375465,test_legacy,0.2670836003860697,True,42,0.67355524772647,XLK,50000,-0.025377010625802488,0.05
ppo_with_uncertainty_guard,0.18597114643708645,0.25059751399986047,0,0.9607158485616448,1941181.0122384538,test_legacy,0.265431197687652,True,53,0.6806207333988485,XLK,50000,-0.02535680207494062,0.05
ppo_with_uncertainty_guard,0.18880894640754367,0.2481177965438581,0,0.9607158460593838,1959306.9270624158,test_legacy,0.2565630298559721,True,67,0.6970552386262685,XLK,50000,-0.025256817609935124,0.05
ppo_with_uncertainty_guard,0.1865231057384786,0.24831374984343038,0,0.9607161715043471,1944696.749780216,test_legacy,0.25655571527104926,True,89,0.6887542930610008,XLK,50000,-0.025255066333387078,0.05
ppo_with_uncertainty_guard,0.12656287095260846,0.1765396878793942,0,0.9926431288842062,1589538.7922233248,test_legacy,0.18867639857587615,True,7,0.6750390491898058,XLF,50000,-0.017789052176015206,0.05
ppo_with_uncertainty_guard,-0.0022158885541103566,0.009339192205586556,0,0.9765608066682979,991410.1989347341,test_legacy,0.02583317265849938,True,13,-0.2375269202003003,XLF,50000,0.0,0.04081632653061224
ppo_with_uncertainty_guard,6.906768900154983e-05,0.009982464102482862,0,0.9852865491688237,1000268.6233658898,test_legacy,0.02417818944785699,True,19,0.006918552868638971,XLF,50000,-0.00014478662390988715,0.05
ppo_with_uncertainty_guard,-0.00045594265656806183,0.009808632238022365,0,0.9832765465838873,998228.0570755122,test_legacy,0.023353639407323823,True,23,-0.04649366377690724,XLF,50000,-1.7600532295780625e-05,0.05
ppo_with_uncertainty_guard,0.12024885798738578,0.18083509691393432,0,0.9926434642195896,1555172.791405685,test_legacy,0.20678347770863337,True,29,0.6279243217436568,XLF,50000,-0.01845755606982271,0.05
