ablation,agent,annualized_return,annualized_volatility,bootstrap_paths,capital_preservation_rate_95pct_hwm,enable_risk_on_guard,enable_trade_scaling,final_portfolio_value,fold_id,mask_uncertainty_in_state,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,ticker,timesteps,uncertainty_mode,var_95,var_95_violation_rate
state_only,ppo_ablation_state_only,0.13266962310655905,0.17747805837647848,0,0.9963353181661716,False,False,1623310.2875673233,test_legacy,False,0.2186744701131561,True,7,0.7019303369028184,SPY,50000,aleatoric,-0.016533190102513372,0.05
state_only,ppo_ablation_state_only,0.13303150109450998,0.17754299047544528,0,0.9963353181661715,False,False,1625328.1260713444,test_legacy,False,0.2189724818218175,True,13,0.7034728485358451,SPY,50000,aleatoric,-0.016533190102513994,0.05
state_only,ppo_ablation_state_only,0.13501385842487446,0.1750796761286043,0,0.9963353181661716,False,False,1636414.8674360572,test_legacy,False,0.21111652354304866,True,19,0.7233549255753211,SPY,50000,aleatoric,-0.016455608764184237,0.05
state_only,ppo_ablation_state_only,0.13430018789836257,0.1743061002770654,0,0.9963353181686616,False,False,1632417.0672397488,test_legacy,False,0.20739035597809163,True,23,0.7229567483185951,SPY,50000,aleatoric,-0.01645537715946288,0.05
state_only,ppo_ablation_state_only,0.13485138158580057,0.17569621720603057,0,0.9963353181661715,False,False,1635504.0749320018,test_legacy,False,0.21447651757110875,True,29,0.7200017663477937,SPY,50000,aleatoric,-0.016455608767628593,0.05
state_only,ppo_ablation_state_only,0.13502415194698403,0.176346904247979,0,0.9963353181661716,False,False,1636472.582273671,test_legacy,False,0.21647556844234972,True,37,0.718208331943675,SPY,50000,aleatoric,-0.01645560857850601,0.05
state_only,ppo_ablation_state_only,0.13295980655548176,0.17783763449869586,0,0.9963353181661716,False,False,1624928.2080423378,test_legacy,False,0.2193918123012586,True,42,0.7019515025560966,SPY,50000,aleatoric,-0.016669765635689605,0.05
state_only,ppo_ablation_state_only,0.13541985560411668,0.17623459784215326,0,0.9963353181661723,False,False,1638692.4031079137,test_legacy,False,0.21670976987240254,True,53,0.720643883319127,SPY,50000,aleatoric,-0.01645560670294719,0.05
state_only,ppo_ablation_state_only,0.13404352684575713,0.17705270084522332,0,0.9963353181661716,False,False,1630981.0928921665,test_legacy,False,0.21876646287705814,True,67,0.7104634645375204,SPY,50000,aleatoric,-0.01653319010251426,0.05
state_only,ppo_ablation_state_only,0.13503432900850565,0.17561529954903396,0,0.9963353181661716,False,False,1636529.6456139535,test_legacy,False,0.20922560270921697,True,89,0.7212514065038235,SPY,50000,aleatoric,-0.016455608766923202,0.05
