agent,annualized_return,annualized_volatility,bootstrap_paths,capital_preservation_rate_95pct_hwm,device,final_portfolio_value,fold_id,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,test_window,ticker,timesteps,train_window,var_95,var_95_violation_rate
ppo_standalone,-0.012082214632044445,0.0313300488657628,16,0.9771120939294785,cpu,977112.0939294785,wf_2018_2019,0.043047110863807414,True,7,-0.3879897011215735,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,-0.0005717430596488879,0.05
ppo_with_uncertainty_guard,0.025927625280953548,0.06772663380779251,16,0.9998688385370728,cpu,1049964.7354115543,wf_2018_2019,0.09392293712065836,True,7,0.37794796761779464,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,-0.00808243007136573,0.05
ppo_standalone,-0.010288160773874584,0.021784625220386343,16,0.9804947385478753,cpu,980494.7385478753,wf_2018_2019,0.03943007591035608,True,13,-0.4747097666052341,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,0.0,0.020833333333333332
ppo_with_uncertainty_guard,0.06100534225160763,0.10192908511765895,16,0.9998098247619988,cpu,1119401.407896137,wf_2018_2019,0.1433344964060509,True,13,0.5809607967740598,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,-0.012480492414274291,0.05
ppo_standalone,-0.01332349214865543,0.0184405239629982,16,0.9747749458045994,cpu,974774.9458045994,wf_2018_2019,0.03404191646519139,True,19,-0.7273616937374879,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,0.0,0.01875
ppo_with_uncertainty_guard,0.02090003662633779,0.07544948671514733,16,0.9998757708920737,cpu,1040185.7361462915,wf_2018_2019,0.12916666197329085,True,19,0.27415141506867247,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,-0.007704646420631444,0.05
ppo_standalone,-0.007080019765964296,0.019365939055655507,16,0.9865574508493843,cpu,986557.4508493843,wf_2018_2019,0.03319843041011672,True,23,-0.36688867886864956,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,0.0,0.029166666666666667
ppo_with_uncertainty_guard,0.10739060502090443,0.14023743176659678,16,0.9997522396924544,cpu,1214458.1180235622,wf_2018_2019,0.19341265418026088,True,23,0.7273830160759518,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,-0.01684596058561123,0.05
ppo_standalone,-0.010091938161037336,0.022950036583320264,16,0.9808650483456859,cpu,980865.0483456859,wf_2018_2019,0.04073947034110037,True,29,-0.44196604212216456,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,0.0,0.03125
ppo_with_uncertainty_guard,0.041252973172367695,0.05869617315019503,16,0.9997881290484709,cpu,1080041.6029896215,wf_2018_2019,0.05628185589070389,True,29,0.6887103261340575,2018-01-01/2019-12-31,SPY,50000,2009-01-01/2017-12-31,-0.005101577358475495,0.05
