agent,annualized_return,annualized_volatility,capital_preservation_rate_95pct_hwm,drawdown_floor,fast_window,final_portfolio_value,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,slow_window,ticker,var_95,var_95_violation_rate
stop_loss_5pct,0.017007908701472847,0.20089286602042206,0.9510593287711201,0.05,20,1069285.9667092122,0.41508015822996813,True,-1,0.08394962222719672,50,AAPL,-0.02054786948963816,0.04995004995004995
stop_loss_10pct,-0.012232662997248232,0.2068972850789044,0.9522853995145781,0.1,20,952285.3995145782,0.40453429172663646,True,-1,-0.05948888300528296,50,AAPL,-0.020748530078055438,0.04995004995004995
stop_loss_5pct,-0.07492685452991098,0.3073221754857824,0.6265079121480883,0.05,20,733911.7628106014,0.4836342976512211,False,-1,-0.25342274132827264,50,AMAT,-0.03214566185560308,0.04995004995004995
stop_loss_10pct,-0.05398948139521616,0.3299795740659241,0.5703754609097318,0.1,20,802145.9918324321,0.5643953051626325,False,-1,-0.16819696920999228,50,AMAT,-0.03372160200719776,0.04995004995004995
stop_loss_5pct,0.027488672758685016,0.3649633815683288,0.8159204270078774,0.05,20,1113732.854309913,0.49027332735992346,False,-1,0.07430233503615577,50,AMD,-0.03613657956256411,0.04995004995004995
stop_loss_10pct,0.017329456355973646,0.39483651322553803,0.7777717995320572,0.1,20,1070629.5125027925,0.5862449385810624,False,-1,0.04351423017446806,50,AMD,-0.04010096579089861,0.04995004995004995
stop_loss_5pct,0.30597789229987776,0.3324150468964106,0.8972353763242327,0.05,20,2887505.773920873,0.41577344822798346,False,-1,0.803068266389668,50,AVGO,-0.02991908078753802,0.04995004995004995
stop_loss_10pct,0.38964605267583124,0.3823026383141964,0.8972353763242328,0.1,20,3695278.978948326,0.34382298913272313,False,-1,0.8607027698597199,50,AVGO,-0.034056496092564004,0.04995004995004995
stop_loss_5pct,0.12230841178043814,0.2012116438261608,0.970121399377558,0.05,20,1581455.0993180815,0.31824883370985857,True,-1,0.5734636073229467,50,AXP,-0.0218966743650455,0.04995004995004995
stop_loss_10pct,0.1329024597614743,0.22592115475707664,0.9701213993775579,0.1,20,1641590.1259387434,0.3481572178237722,True,-1,0.5523289775920037,50,AXP,-0.023301865974977076,0.04995004995004995
stop_loss_5pct,0.10486253989905846,0.21282171572415604,0.9642151824552081,0.05,20,1486038.25563227,0.36804181179456597,True,-1,0.4685652224373613,50,C,-0.021261251891649735,0.04995004995004995
stop_loss_10pct,0.12019108299317321,0.2472045963828941,0.9642151824552081,0.1,20,1569636.9718265801,0.37333515447837506,True,-1,0.45913065269064424,50,C,-0.022343961810275204,0.04995004995004995
