agent,annualized_return,annualized_volatility,capital_preservation_rate_95pct_hwm,device,final_portfolio_value,fold_id,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,ticker,timesteps,var_95,var_95_violation_rate
ppo_standalone,-0.0004669568193955187,0.004230972521438928,0.9950807723376638,cpu,998185.2812946849,test_legacy,0.00848644628549855,True,7,-0.11038794314391163,AAPL,50000,0.0,0.00510204081632653
ppo_standalone,-0.0007004022697547424,0.004368416008163735,0.9941772776305209,cpu,997278.9678139419,test_legacy,0.00848644628549855,True,13,-0.1603835817380049,AAPL,50000,0.0,0.00510204081632653
ppo_standalone,-0.0004669568193955187,0.004230972521438928,0.9950807723376638,cpu,998185.2812946849,test_legacy,0.00848644628549855,True,19,-0.11038794314391163,AAPL,50000,0.0,0.00510204081632653
ppo_standalone,-0.0009568446812686635,0.004507971718930764,0.9931854812457288,cpu,996284.0771670098,test_legacy,0.00848644628549855,True,23,-0.21235027624125621,AAPL,50000,0.0,0.006122448979591836
ppo_standalone,-0.0005942504311739124,0.004238371198159443,0.9945880373158643,cpu,997691.0090104529,test_legacy,0.00848644628549855,True,29,-0.14024368729323652,AAPL,50000,0.0,0.006122448979591836
ppo_standalone,-0.0014036072310498607,0.006622941818712454,0.991062002041526,cpu,994552.5843432337,test_legacy,0.01006061075952236,True,37,-0.21207487292052943,AAPL,50000,0.0,0.007142857142857143
ppo_standalone,-0.0004669568193955187,0.004230972521438928,0.9950807723376638,cpu,998185.2812946849,test_legacy,0.00848644628549855,True,42,-0.11038794314391163,AAPL,50000,0.0,0.00510204081632653
ppo_standalone,-0.0015080208025152972,0.005485358211823426,0.99105628381596,cpu,994148.2369473532,test_legacy,0.009518118716445922,True,53,-0.27511700760030955,AAPL,50000,0.0,0.007142857142857143
ppo_standalone,-0.0004669568193955187,0.004230972521438928,0.9950807723376638,cpu,998185.2812946849,test_legacy,0.00848644628549855,True,67,-0.11038794314391163,AAPL,50000,0.0,0.00510204081632653
ppo_standalone,-0.006424307677705601,0.013763691054275155,0.9702502101057126,cpu,975247.4798565534,test_legacy,0.03355375616056877,True,89,-0.4682579688844383,AAPL,50000,0.0,0.017346938775510204
ppo_standalone,8.606977869413632e-05,0.0077833511275271295,0.9934500776556456,cpu,1000334.7574211652,test_legacy,0.01442066170376477,True,7,0.011057489013557582,AMAT,50000,0.0,0.004081632653061225
ppo_standalone,-0.00041817358358816367,0.008628558407668298,0.9915035611605683,cpu,998374.7514281973,test_legacy,0.01442066170376477,True,13,-0.04847314324249021,AMAT,50000,0.0,0.00510204081632653
ppo_standalone,-0.000274444151952809,0.00780190540979969,0.9920581068962254,cpu,998933.1402052827,test_legacy,0.01442066170376477,True,19,-0.03518066670462007,AMAT,50000,0.0,0.00510204081632653
ppo_standalone,-0.0001904433740648283,0.008611137210245508,0.9923823105224066,cpu,999259.5905856745,test_legacy,0.01442066170376477,True,23,-0.022117636148498442,AMAT,50000,0.0,0.00510204081632653
ppo_standalone,-0.000274444151952809,0.00780190540979969,0.9920581068962254,cpu,998933.1402052827,test_legacy,0.01442066170376477,True,29,-0.03518066670462007,AMAT,50000,0.0,0.00510204081632653
ppo_standalone,-0.00021369976021728984,0.014688602471168356,0.9848662893578969,cpu,999169.201870224,test_legacy,0.02242338484254669,True,37,-0.014550076355535364,AMAT,50000,0.0,0.007142857142857143
ppo_standalone,8.163914291466312e-05,0.0077701910099753765,0.9934329618448862,cpu,1000317.5229966186,test_legacy,0.01442066170376477,True,42,0.010506066418451705,AMAT,50000,0.0,0.004081632653061225
ppo_standalone,-0.002304118338701503,0.012651120104771268,0.9809646201111475,cpu,991069.3184953809,test_legacy,0.01908800658322718,True,53,-0.18233547227039645,AMAT,50000,0.0,0.00816326530612245
ppo_standalone,0.00011860819269865865,0.008046830263025209,0.9935757822050293,cpu,1000461.3331120254,test_legacy,0.01442066170376477,True,67,0.01473857602932868,AMAT,50000,0.0,0.004081632653061225
ppo_standalone,0.00015437091960847832,0.008899444457308166,0.9937139567625431,cpu,1000600.46522906,test_legacy,0.014495540076216007,True,89,0.01734448178574601,AMAT,50000,0.0,0.00510204081632653
ppo_standalone,0.0027890038744059443,0.025912135056298632,0.9598355376753547,cpu,1010889.8972372521,test_legacy,0.049167577710844346,True,7,0.10748264282652009,AMD,50000,0.0,0.006122448979591836
ppo_standalone,0.0020444938420051467,0.023122840622689506,0.9603033502454076,cpu,1007974.319619019,test_legacy,0.041001457640530425,True,13,0.08832793169501381,AMD,50000,0.0,0.006122448979591836
ppo_standalone,0.00694162133435549,0.014888324714908946,0.9895919119007054,cpu,1027267.0539727778,test_legacy,0.01040808809929461,True,19,0.4646302102474263,AMD,50000,0.0,0.004081632653061225
ppo_standalone,0.005367918758690405,0.017153651661461263,0.9796817286822572,cpu,1021037.646841902,test_legacy,0.022066128038895627,True,23,0.3120917572998775,AMD,50000,0.0,0.006122448979591836
ppo_standalone,0.00130847592833268,0.025808568518981684,0.9564769721142606,cpu,1005098.1428285633,test_legacy,0.046777160919143745,True,29,0.05066583122621723,AMD,50000,0.0,0.006122448979591836
ppo_standalone,0.005431562729087913,0.023603955751342522,0.9653733905638464,cpu,1021289.0317746705,test_legacy,0.03810652303627382,True,37,0.22948816784376555,AMD,50000,0.0,0.006122448979591836
ppo_standalone,0.008115753464538763,0.0154197829031017,0.9904608653672197,cpu,1031933.1424347181,test_legacy,0.009770954370686424,True,42,0.5241912081664817,AMD,50000,0.0,0.004081632653061225
ppo_standalone,0.0049177218843430666,0.01901567130394341,0.972570197959387,cpu,1019260.7434180207,test_legacy,0.027781862047154493,True,53,0.25797818844424286,AMD,50000,0.0,0.004081632653061225
ppo_standalone,0.005728626436000571,0.017338536196977186,0.9790078524893608,cpu,1022463.0007630832,test_legacy,0.023276645153356257,True,67,0.32945272250345614,AMD,50000,0.0,0.004081632653061225
ppo_standalone,0.008570491583347838,0.014283775149919208,0.9965969418271,cpu,1033744.5284506199,test_legacy,0.008975131023212901,True,89,0.5974525986419729,AMD,50000,0.0,0.003061224489795918
ppo_standalone,0.0008262506202600293,0.035748678352930385,0.9741726863144903,cpu,1003217.0337160227,test_legacy,0.03621434600213125,True,7,0.023103114119765775,AMZN,50000,0.0,0.015306122448979591
ppo_standalone,0.0011801716314535518,0.034119091433845714,0.9826806158152326,cpu,1004597.3859413111,test_legacy,0.03909324354050148,True,13,0.034569217381984096,AMZN,50000,0.0,0.01020408163265306
ppo_standalone,0.00351985925098341,0.030546400224648797,0.9934458495247862,cpu,1013758.0907179869,test_legacy,0.034989098263955576,True,19,0.11502700019177435,AMZN,50000,0.0,0.006122448979591836
ppo_standalone,0.00015647483990572467,0.03266091095487631,0.9810066437030479,cpu,1000608.6508155407,test_legacy,0.03680155675105823,True,23,0.004790492180208405,AMZN,50000,0.0,0.014285714285714285
ppo_standalone,0.0009550531241542794,0.03848964135499106,0.9757155494805548,cpu,1003719.2222378732,test_legacy,0.04083506305673135,True,29,0.02480130706332633,AMZN,50000,0.0,0.012244897959183673
ppo_standalone,0.004409655253307405,0.03488836896908489,0.9878173527556847,cpu,1017258.191303155,test_legacy,0.0369786814308406,True,37,0.12611484346478105,AMZN,50000,0.0,0.01020408163265306
ppo_standalone,-0.04639793884128443,0.10608806731664001,0.7843046976133711,cpu,831306.6599577281,test_legacy,0.24906337335376394,False,42,-0.44782369342054257,AMZN,50000,-0.010287258237571439,0.05
ppo_standalone,0.0034225911362419283,0.03451555400429751,0.9861544025740251,cpu,1013376.0201438292,test_legacy,0.03680155675105823,True,53,0.0989910718640781,AMZN,50000,0.0,0.01020408163265306
ppo_standalone,0.0007286754298408957,0.02701608224253342,0.9876122381828496,cpu,1002836.7217487,test_legacy,0.03255992260074103,True,67,0.026961932828892823,AMZN,50000,0.0,0.01020408163265306
ppo_standalone,-0.0045393944746721605,0.04166078528381068,0.9526359502893638,cpu,982462.2190957549,test_legacy,0.060977892799790157,True,89,-0.10920849054446569,AMZN,50000,0.0,0.018367346938775512
ppo_standalone,-0.0006180289039244249,0.014654836485697893,0.9854901575577795,cpu,997598.6990039625,test_legacy,0.022520849080885585,True,7,-0.0421849309928833,AVGO,50000,0.0,0.007142857142857143
ppo_standalone,0.0003151324431956172,0.0095291701470034,0.9931999600174378,cpu,1001226.0730113654,test_legacy,0.015018769106726615,True,13,0.03306453192714862,AVGO,50000,0.0,0.004081632653061225
ppo_standalone,-0.00019194559681451253,0.010338383325513761,0.9909170313593396,cpu,999253.7518344874,test_legacy,0.015734523382552212,True,19,-0.018567803798394875,AVGO,50000,0.0,0.006122448979591836
ppo_standalone,0.00021662206689055364,0.009611777572131653,0.9928196431479419,cpu,1000842.6827766954,test_legacy,0.015018769106726615,True,23,0.0225343365343138,AVGO,50000,0.0,0.00510204081632653
