arm,ticker,fold_id,final_portfolio_value,sharpe_ratio,max_drawdown,capital_preservation_rate_95pct_hwm
WF_A,IWM,wf_2018_2019,988201.8026731398,-0.2937651827740474,0.03288976506820651,0.9864838006012577
WF_A,IWM,wf_2020_2021,1010283.4267451244,0.5053620836400223,0.011020662532562009,0.988979337467438
WF_A,IWM,wf_2022_2023,993191.5631247323,-0.29482796069501127,0.022895577455493477,0.988510813565803
WF_A,IWM,wf_2024_2025,1016498.9195690871,0.5033764429471839,0.012906227889235233,0.9963520920201179
WF_A,QQQ,wf_2018_2019,987194.6950107145,-0.2855856736731662,0.041269997602783604,0.9812441042351541
WF_A,QQQ,wf_2020_2021,1011957.8318895225,0.4955463923821811,0.02760498270873929,0.9805559120881908
WF_A,QQQ,wf_2022_2023,978369.5931313619,-0.6044084129220483,0.03152939528063847,0.9744109521012567
WF_A,QQQ,wf_2024_2025,1016092.397416833,0.9315768070484726,0.005981801318474589,0.9969361815496915
WF_A,SPY,wf_2018_2019,980506.6440205679,-0.45833790436369937,0.038081832917231495,0.978803416238677
WF_A,SPY,wf_2020_2021,998419.6561919982,-0.05116187819315607,0.024620837781605953,0.9760255270924869
WF_A,SPY,wf_2022_2023,985360.121350151,-0.5387150879396365,0.023822382431407385,0.9808469523315045
WF_A,SPY,wf_2024_2025,1018684.0078091476,1.105239499554622,0.0047495792821360405,0.9990047278909786
WF_A,XLE,wf_2018_2019,959356.1227180286,-0.8929242673303689,0.054218267501817186,0.9545046836781599
WF_A,XLE,wf_2020_2021,994757.5990421413,-0.16928858935251967,0.01734546398674286,0.9826545360132571
WF_A,XLE,wf_2022_2023,1018515.1053674808,0.5331679230148254,0.014845391163966548,0.9948000462031439
WF_A,XLE,wf_2024_2025,1007541.4906423454,0.42602884169937894,0.005912446662657056,0.9993748425034363
WF_A,XLF,wf_2018_2019,978746.6134651087,-0.44812214259294364,0.042151844755547785,0.9742815439359138
WF_A,XLF,wf_2020_2021,1011439.80165177,0.823109055868235,0.004907927937689294,0.9955912375385221
