arm,ticker,final_portfolio_value,sharpe_ratio,max_drawdown,capital_preservation_rate_95pct_hwm
A,AAPL,997484.9804374024,-0.15031164821367882,0.008486532988394413,0.9943825697758129
A,AMAT,999214.3885898464,-0.018334260230503517,0.014420657325455055,0.9922203059560863
A,AMD,1021163.3393082863,0.28503497287206014,0.025529253600255375,0.9757890252243739
A,AMZN,1003468.1279769479,0.025881619946109574,0.036890119090949414,0.9818436297591402
A,AVGO,997141.9573134632,-0.04869761293881549,0.01976313581893452,0.9881332648259049
A,AXP,1020809.9343797101,0.7295497542702832,0.005763447052942627,0.9962044838328871
A,BA,1007142.5289374124,0.29571119635026266,0.005812365975207956,0.9947552911877413
A,BLK,991290.5692983448,-0.4861174791542129,0.009980205072829262,0.9912905692983448
A,BRK-B,1027015.9978931304,0.33846253350121847,0.09382058409007787,0.9654294263270844
A,C,1003198.3777352639,0.15973748692585754,0.008248035878381244,0.9984853801642796
A,CAT,991465.5081311903,-0.4457231669410977,0.012963975163477914,0.9911308499031297
A,COPX,1023128.5784019274,0.21414196455984585,0.08618753829884851,0.9298052220613695
A,COST,1022703.9447358137,0.3988224330190009,0.09861219407290905,0.9213329000781993
A,CRM,973778.9525362984,-0.49323686175118386,0.03462627669197116,0.9737789525362985
A,DIA,998971.5330400073,-0.0784857568363923,0.005888617713347921,0.9963737566940227
A,EEMX,997646.581042034,-0.1898342601601284,0.005727341888220716,0.9973843101593829
A,GLD,1023725.8834631738,0.3799807003312146,0.049627705160798286,0.9635166300802691
A,GOOGL,1012310.5439533616,0.1674540340995876,0.021411196509636188,0.9792066190519536
A,GS,1004243.7235515728,0.2268295987645324,0.005874629144371535,0.9991102729508758
A,HSBC,1007717.2792572894,0.4862836999830002,0.0031518100939328386,0.9975354714979836
A,IAU,1025839.4683520782,0.42946943594069864,0.05403038994734882,0.9656941282936815
A,IBB,992358.3388828826,-0.3880724485117436,0.012501342511243463,0.9923583388828826
