agent,ticker,fold_id,metric,n,mean,std,median,q25,q75,min,max
ppo_standalone,SCHW,test_legacy,var_95_violation_rate,10,0.006530612244897959,0.0027716392908113414,0.006122448979591836,0.004081632653061225,0.007908163265306124,0.004081632653061225,0.012244897959183673
ppo_standalone,SCHW,test_legacy,capital_preservation_rate_95pct_hwm,10,0.9907404014790357,0.007895741134343449,0.9929119744725987,0.9828516213578483,0.9982825099611421,0.9803623410386528,0.9986079073156504
ppo_standalone,SLV,test_legacy,final_portfolio_value,10,1123329.0643809824,317860.343019215,1029511.422257387,1014788.6901322573,1041633.4512124322,990734.7931618347,2026093.510487477
ppo_standalone,SLV,test_legacy,annualized_return,10,0.02515807599992907,0.061337431719553026,0.00750106324148526,0.0037812873445717686,0.010544057802308224,-0.0023907251564128503,0.1990997053904445
ppo_standalone,SLV,test_legacy,annualized_volatility,10,0.040077860386585624,0.04504283539132883,0.0239859956839198,0.01988809688578388,0.03117767160046387,0.010861132903944847,0.1627891445918619
ppo_standalone,SLV,test_legacy,sharpe_ratio,10,0.41084977855975746,0.3889768779556675,0.3825864677780221,0.14346174855570332,0.5676598883509021,-0.07414119521898035,1.1153744502190868
ppo_standalone,SLV,test_legacy,max_drawdown,10,0.07072735968198693,0.060326187351402744,0.05113258705732682,0.028434690879688918,0.09142154883829107,0.0065970143356950395,0.17779249551831922
ppo_standalone,SLV,test_legacy,var_95,10,-0.0020674272256117465,0.004713522100549641,0.0,-0.00012506779228973466,0.0,-0.014278137733120833,0.0
ppo_standalone,SLV,test_legacy,var_95_violation_rate,10,0.03561224489795918,0.014490354816598092,0.04183673469387755,0.022193877551020407,0.04846938775510204,0.011224489795918367,0.05
ppo_standalone,SLV,test_legacy,capital_preservation_rate_95pct_hwm,10,0.9530900913784472,0.026891607841655743,0.9504614295355156,0.9381415188725597,0.9729031355910525,0.914774123128486,0.9960657045421716
ppo_standalone,SNY,test_legacy,final_portfolio_value,10,1009975.446735497,2102.7765643524203,1009678.1953383939,1009272.1287041078,1011607.7112187753,1006129.3515058272,1013040.7931217513
ppo_standalone,SNY,test_legacy,annualized_return,10,0.002555291745430353,0.0005368280048888102,0.0024797779696541676,0.0023760941831555017,0.0029720164384323547,0.0015725434642611205,0.0033372260852682256
ppo_standalone,SNY,test_legacy,annualized_volatility,10,0.0066072114399879185,0.0007296429872634592,0.006645400954351363,0.006366371740123105,0.006992002788955776,0.005085034788740209,0.007679509628395807
ppo_standalone,SNY,test_legacy,sharpe_ratio,10,0.3904688092166519,0.09034731714055463,0.39681205270321096,0.3354942192774793,0.448996460168709,0.23362724262243897,0.5114066573009673
ppo_standalone,SNY,test_legacy,max_drawdown,10,0.006932027669577468,0.002154576437228452,0.007042283606409128,0.005588593083115406,0.008684276947790864,0.003180005698729005,0.0098663115901233
ppo_standalone,SNY,test_legacy,var_95,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppo_standalone,SNY,test_legacy,var_95_violation_rate,10,0.008979591836734694,0.002140426220755411,0.009693877551020408,0.00816326530612245,0.01020408163265306,0.00510204081632653,0.012244897959183673
ppo_standalone,SNY,test_legacy,capital_preservation_rate_95pct_hwm,10,0.9947298392176883,0.0021965352505552076,0.9944066966453368,0.9931229041211773,0.9965712389337577,0.9912617277408862,0.9979899623002935
ppo_standalone,SPOT,test_legacy,final_portfolio_value,10,928980.8587409783,2161.676288178244,929410.24256469,927872.4078592882,929410.24256469,924549.8900873701,931920.147887907
ppo_standalone,SPOT,test_legacy,annualized_return,10,-0.018765146332265364,0.0005873665680741952,-0.018648085726119965,-0.01906591625683335,-0.018648085726119965,-0.019970309212357977,-0.017967294473487477
ppo_standalone,SPOT,test_legacy,annualized_volatility,10,0.039245104928601504,0.0020904927070785973,0.03826047092548038,0.0380674025594773,0.03899982721023029,0.0380674025594773,0.044152498201207396
ppo_standalone,SPOT,test_legacy,sharpe_ratio,10,-0.48328266119078045,0.015062948808542396,-0.49388121084286074,-0.49449328912303003,-0.4738889161557044,-0.49457466623454116,-0.4568787576909115
ppo_standalone,SPOT,test_legacy,max_drawdown,10,0.08925891657201317,0.0031113778267297786,0.08782005216309785,0.08782005216309785,0.08782005216309785,0.08782005216309785,0.09648284557890752
ppo_standalone,SPOT,test_legacy,var_95,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppo_standalone,SPOT,test_legacy,var_95_violation_rate,10,0.0060204081632653055,0.0010147233938895444,0.006122448979591836,0.00510204081632653,0.006122448979591836,0.00510204081632653,0.00816326530612245
ppo_standalone,SPOT,test_legacy,capital_preservation_rate_95pct_hwm,10,0.9289808587409784,0.0021616762881782334,0.92941024256469,0.9278724078592882,0.92941024256469,0.9245498900873701,0.931920147887907
ppo_standalone,SPY,test_legacy,final_portfolio_value,37,993330.5198261235,6738.754757721565,997679.4193914755,985288.4724252572,1000000.0,984709.5398984859,1000000.0
ppo_standalone,SPY,test_legacy,annualized_return,37,-0.0017235486218101068,0.0017427421560101803,-0.0005972357538670883,-0.0038038138880479157,0.0,-0.0039543631713697585,0.0
ppo_standalone,SPY,test_legacy,annualized_volatility,37,0.0052146042766648155,0.003970642651774479,0.005477574534003435,0.0,0.00863858565366026,0.0,0.0105232817667764
ppo_standalone,SPY,test_legacy,sharpe_ratio,37,-0.20672894872928416,0.19848447656775658,-0.10717346541227221,-0.4411566640686759,0.0,-0.509455745431894,0.0
ppo_standalone,SPY,test_legacy,max_drawdown,37,0.011100113746699754,0.009042121953066916,0.009401634405144632,0.0,0.020858690556257886,0.0,0.021456000666315478
ppo_standalone,SPY,test_legacy,var_95,37,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ppo_standalone,SPY,test_legacy,var_95_violation_rate,37,0.005543298400441257,0.004610948765744825,0.004081632653061225,0.0,0.01020408163265306,0.0,0.011224489795918367
ppo_standalone,SPY,test_legacy,capital_preservation_rate_95pct_hwm,37,0.9903818501572015,0.008320360600510241,0.9933866368793349,0.9810490133225537,1.0,0.9804725661693371,1.0
ppo_standalone,SPY,wf_2018_2019,final_portfolio_value,13,980403.7068022969,5569.3410918074305,980495.4181544253,977103.0740073323,982519.3385803567,971419.7865005002,993308.3705805581
ppo_standalone,SPY,wf_2018_2019,annualized_return,13,-0.01034007150110327,0.002948793779264643,-0.010287800626472554,-0.012087002470183968,-0.009215779496370872,-0.015107917392447405,-0.00351870713572098
