agent,annualized_return,annualized_volatility,bootstrap_paths,capital_preservation_rate_95pct_hwm,device,final_portfolio_value,fold_id,max_drawdown,meets_95pct_preservation_goal,seed,sharpe_ratio,ticker,timesteps,uncertainty_mode,var_95,var_95_violation_rate
ppo_with_uncertainty_guard,0.1377512370238867,0.2694947085125127,32,0.9565674121742435,cpu,1651816.4463846565,test_legacy,0.3336051975967498,True,7,0.47887262745245335,AAPL,50000,aleatoric,-0.02819541360986788,0.05
ppo_with_uncertainty_guard,0.005917983859402612,0.07401524415215717,32,0.9694407400981454,cpu,1023211.8472004333,test_legacy,0.14035614699701282,True,13,0.07972045201875161,AAPL,50000,aleatoric,-0.007474101136289946,0.05
ppo_with_uncertainty_guard,0.13616647302042006,0.2770722697216457,32,0.9565674121730684,cpu,1642886.8730314437,test_legacy,0.3336051995314506,True,19,0.4607454210467233,AAPL,50000,aleatoric,-0.02902603051756918,0.05
ppo_with_uncertainty_guard,-0.002047119575989938,0.005232805617495107,32,0.9889409378851958,cpu,992062.4894424744,test_legacy,0.01105906211480423,True,23,-0.391597887412193,AAPL,50000,aleatoric,0.0,0.0326530612244898
ppo_with_uncertainty_guard,-0.0010822069342808723,0.00478771069810164,32,0.9926646863841062,cpu,995797.9918009738,test_legacy,0.008768489203447749,True,29,-0.22615339784883084,AAPL,50000,aleatoric,0.0,0.012244897959183673
ppo_with_uncertainty_guard,0.13933476927301636,0.2546267809039697,32,0.9565716955539484,cpu,1660775.0414297816,test_legacy,0.3334778681968268,True,37,0.5122967606551639,AAPL,50000,aleatoric,-0.025330684182001396,0.05
ppo_with_uncertainty_guard,0.12378319333119933,0.24099833075214835,32,0.9565734128311449,cpu,1574340.755941241,test_legacy,0.33314622660188875,True,42,0.4842389037964883,AAPL,50000,aleatoric,-0.024363590036262737,0.05
ppo_with_uncertainty_guard,0.0348189003131411,0.0946744382633015,32,0.9822939203143785,cpu,1142367.4346801597,test_legacy,0.13762782996588463,True,53,0.3615165730405776,AAPL,50000,aleatoric,-0.009652084071919908,0.05
ppo_with_uncertainty_guard,0.09581036865074338,0.18037933584430177,32,0.9596753332430688,cpu,1427337.1737089015,test_legacy,0.29247239716863427,True,67,0.5072314481206642,AAPL,50000,aleatoric,-0.016793870432290702,0.05
ppo_with_uncertainty_guard,0.0846140942583084,0.16723619577669205,32,0.9682490665791776,cpu,1371454.8137089263,test_legacy,0.24893802505490936,True,89,0.4856853670556609,AAPL,50000,aleatoric,-0.016037598678788977,0.05
ppo_with_uncertainty_guard,0.21825708396144838,0.4162498819858149,32,0.9560241204323886,cpu,2154910.4744667863,test_legacy,0.4988192147204552,True,7,0.4742851610169096,AMAT,50000,aleatoric,-0.04077409354912183,0.05
ppo_with_uncertainty_guard,0.08657344514824304,0.1459667457074956,32,0.9789169674108978,cpu,1381114.8123135692,test_legacy,0.19479350536431617,True,13,0.5688215192930961,AMAT,50000,aleatoric,-0.014183453623109975,0.05
ppo_with_uncertainty_guard,0.21226191614224058,0.42089160791824004,32,0.9560241204319223,cpu,2113962.8522835346,test_legacy,0.498819244170119,True,19,0.45733364720798514,AMAT,50000,aleatoric,-0.041215009846025996,0.05
ppo_with_uncertainty_guard,0.038571913515307116,0.1384479566047577,32,0.987370290514397,cpu,1158563.9439895693,test_legacy,0.24100151434649264,True,23,0.2733631247197299,AMAT,50000,aleatoric,-0.013823384173522513,0.05
ppo_with_uncertainty_guard,0.0046079309138272306,0.026976140323665288,32,0.9939869222943952,cpu,1018039.3496718453,test_legacy,0.04556373941319469,True,29,0.17042170572037993,AMAT,50000,aleatoric,-0.0017210922283585894,0.05
ppo_with_uncertainty_guard,0.2127666661172682,0.4211994729946895,32,0.9560241204319294,cpu,2117387.8786226157,test_legacy,0.4988192426060962,True,37,0.45798769972765,AMAT,50000,aleatoric,-0.04167775410525545,0.05
ppo_with_uncertainty_guard,-0.0034232610913343944,0.08664241155936553,32,0.9667544391415136,cpu,986753.0035607944,test_legacy,0.1857254101325181,True,42,-0.03957793315729931,AMAT,50000,aleatoric,-0.007993466755209422,0.05
ppo_with_uncertainty_guard,0.19917578416537882,0.3564213271739693,32,0.9597777501945126,cpu,2026593.4679274398,test_legacy,0.43662470243135176,True,53,0.5096058499661158,AMAT,50000,aleatoric,-0.035355168027856806,0.05
ppo_with_uncertainty_guard,0.09389359178933365,0.2077293943910499,32,0.9743884346494391,cpu,1417652.3705742727,test_legacy,0.2675544120931792,True,67,0.43202054132169354,AMAT,50000,aleatoric,-0.020863549632320046,0.05
ppo_with_uncertainty_guard,0.21862094636229754,0.36484026615568466,32,0.9565778379855934,cpu,2157414.50926578,test_legacy,0.48600494101402625,True,89,0.5419351422273773,AMAT,50000,aleatoric,-0.0325329920304271,0.05
ppo_with_uncertainty_guard,0.11234591021974952,0.31663821906185996,32,0.8197742640211287,cpu,1512939.9367158639,test_legacy,0.4963784643732201,False,7,0.3362549370514472,AMD,50000,aleatoric,-0.027461269028394936,0.05
ppo_with_uncertainty_guard,0.0027762956636927442,0.023473948093734945,32,0.9620878184145111,cpu,1010840.0780904661,test_legacy,0.04128066105266659,True,13,0.11810668206310548,AMD,50000,aleatoric,0.0,0.03469387755102041
ppo_with_uncertainty_guard,0.19099843806506941,0.523041963336558,32,0.815684983025687,cpu,1973377.5847967153,test_legacy,0.6300028387531498,False,19,0.3341833698371182,AMD,50000,aleatoric,-0.05292654392382907,0.05
ppo_with_uncertainty_guard,0.007561515853963898,0.027628827378986403,32,0.9791370847444182,cpu,1029728.603423974,test_legacy,0.04543346166092732,True,23,0.27265100718798646,AMD,50000,aleatoric,0.0,0.02857142857142857
ppo_with_uncertainty_guard,0.006958761966772624,0.024178102758114158,32,0.9777872556531357,cpu,1027335.0591727756,test_legacy,0.04128066105266659,True,29,0.286813901957633,AMD,50000,aleatoric,0.0,0.02346938775510204
ppo_with_uncertainty_guard,0.1870619257661014,0.5262270771702661,32,0.8156849830255847,cpu,1948133.3563432863,test_legacy,0.630002851121376,False,37,0.3258692681466945,AMD,50000,aleatoric,-0.05366507729433616,0.05
ppo_with_uncertainty_guard,0.0022552644368826293,0.02368054889038375,32,0.9601452604668399,cpu,1008799.0841292754,test_legacy,0.041492975840422774,True,42,0.09512913126809813,AMD,50000,aleatoric,-6.92204470889024e-06,0.05
ppo_with_uncertainty_guard,0.027092228460318998,0.17251430812059063,32,0.9265140566164546,cpu,1109552.4439814887,test_legacy,0.3430675973751225,False,53,0.15495355930903246,AMD,50000,aleatoric,-0.016766275664542807,0.05
ppo_with_uncertainty_guard,0.005094629291702624,0.024159266231976364,32,0.9707666670191795,cpu,1019958.7134513585,test_legacy,0.04128066105266659,True,67,0.21034008807902796,AMD,50000,aleatoric,-6.975653875800348e-05,0.05
ppo_with_uncertainty_guard,0.015275181468767326,0.132185212293393,32,0.9436553566081282,cpu,1060726.8195031257,test_legacy,0.19809417493275394,False,89,0.11468508487168846,AMD,50000,aleatoric,-0.012627556343372514,0.05
