date,portfolio_value,agent,ticker,fold_id,seed
2024-01-02,1000000.0,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-01-03,1000707.9466330338,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-01-04,1002708.7211817126,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-01-05,999657.2277078507,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-01-08,1000751.7631366386,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-01-09,1005078.7195221044,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-01-10,1002712.9453757067,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-01-11,1004484.3999117712,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-01-12,1007439.8041188742,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-01-16,998583.4324058678,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-01-17,1004477.7090164707,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-01-18,1015021.8452848964,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-01-19,1012886.5635237596,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-01-22,1011173.2162815712,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-01-23,1012964.7099217721,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-01-24,1019895.6107490549,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-01-25,1022893.4614342792,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-01-26,1020011.8790739765,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-01-29,1021535.5177930556,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-01-30,1023711.1857178748,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-01-31,1023365.3665976495,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-02-01,1022587.3815800321,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-02-02,1024031.3308979023,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-02-05,1024163.6021933376,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-02-06,1027000.4182088098,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-02-07,1026188.1875769744,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-02-08,1027015.6974904198,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-02-09,1027906.6062095738,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-02-12,1030114.6095702953,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-02-13,1033713.2208880612,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-02-14,1029345.524679251,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-02-15,1028820.9128095983,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-02-16,1031608.7974939237,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-02-20,1034183.7092931591,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-02-21,1040993.8248898044,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-02-22,1045984.3889235132,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-02-23,1038463.4418958172,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-02-26,1035916.9312881458,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-02-27,1038210.8815040176,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-02-28,1046535.9374304306,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-02-29,1050288.420188283,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-03-01,1046525.705824004,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-03-04,1042746.3418739338,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-03-05,1042366.197133916,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-03-06,1034039.5480618374,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-03-07,1040782.6699304698,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-03-08,1043855.1086197941,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-03-11,1039732.5418450232,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-03-12,1029406.2466918236,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-03-13,1024540.6042859436,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-03-14,1015757.7004387378,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-03-15,1012596.7128564806,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-03-18,1008357.8135251272,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-03-19,1009863.6947160233,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-03-20,1011922.6609898752,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-03-21,1020051.9980256085,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-03-22,1027295.8813082508,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-03-25,1031139.7525122312,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-03-26,1030981.9006958064,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-03-27,1027281.6999732433,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-03-28,1026379.9848952148,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-04-01,1025524.9478550949,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-04-02,1020138.6557571266,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-04-03,1020112.0500382815,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-04-04,1021555.3779421359,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-04-05,1022869.574023972,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-04-08,1030200.9275925312,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-04-09,1032251.7310948748,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-04-10,1034516.3651135281,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-04-11,1039250.662387488,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-04-12,1041662.1438058454,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-04-15,1039195.5280672912,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-04-16,1042156.6719389366,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-04-17,1046544.1449448917,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-04-18,1046507.2863089769,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-04-19,1051318.1725685366,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-04-22,1042538.5114847224,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-04-23,1046687.4563379183,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-04-24,1043067.7824621596,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-04-25,1034228.8972064458,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-04-26,1038062.5392730986,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-04-29,1031011.588615352,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-04-30,1025720.1423105616,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-05-01,1029085.1238113401,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-05-02,1038165.6480449154,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-05-03,1034264.349072879,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-05-06,1031418.6032707759,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-05-07,1033268.096250362,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-05-08,1032947.0912303231,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-05-09,1036034.6787197684,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-05-10,1033479.9401696753,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-05-13,1025859.6370783709,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-05-14,1025212.2798621602,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-05-15,1024729.9813265051,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-05-16,1022640.0842493054,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-05-17,1028343.26445875,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-05-20,1032302.2183788778,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-05-21,1035671.4700061656,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-05-22,1033191.3942801994,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-05-23,1039783.073040368,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-05-24,1034788.8216268072,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-05-28,1030701.5518333227,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-05-29,1029854.1969573479,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-05-30,1032204.0391895024,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-05-31,1033725.9425856884,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-06-03,1042095.7083919111,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-06-04,1039733.2406801669,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-06-05,1039530.56991196,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-06-06,1037426.8797387164,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-06-07,1043541.3464152638,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-06-10,1046515.8999532504,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-06-11,1052697.5890739744,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-06-12,1055362.8815075152,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-06-13,1067022.29857554,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-06-14,1076147.9133004537,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-06-17,1082196.643676359,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-06-18,1072554.3860363977,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-06-20,1064429.1390768997,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-06-21,1068785.9935082586,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-06-24,1070243.584332938,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-06-25,1059683.4500162923,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-06-26,1062570.458864241,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-06-27,1074471.011873202,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-06-28,1073354.7435319147,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-07-01,1082340.3271781704,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-07-02,1080394.255482422,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
2024-07-03,1069879.1080407337,ppo_with_uncertainty_guard,XLF,wf_2024_2025,7
