date,portfolio_value,agent,ticker,fold_id,seed
2018-01-02,1000000.0,ppo_standalone,XLF,wf_2018_2019,7
2018-01-03,1004424.6730969108,ppo_standalone,XLF,wf_2018_2019,7
2018-01-04,993931.4347010669,ppo_standalone,XLF,wf_2018_2019,7
2018-01-05,970401.3101157611,ppo_standalone,XLF,wf_2018_2019,7
2018-01-08,978509.4621843575,ppo_standalone,XLF,wf_2018_2019,7
2018-01-09,978827.5067799918,ppo_standalone,XLF,wf_2018_2019,7
2018-01-10,958954.1506244512,ppo_standalone,XLF,wf_2018_2019,7
2018-01-11,967221.4667851562,ppo_standalone,XLF,wf_2018_2019,7
2018-01-12,973422.0248028305,ppo_standalone,XLF,wf_2018_2019,7
2018-01-16,975329.7960966167,ppo_standalone,XLF,wf_2018_2019,7
2018-01-17,984676.4199813253,ppo_standalone,XLF,wf_2018_2019,7
2018-01-18,986852.3739122716,ppo_standalone,XLF,wf_2018_2019,7
2018-01-19,986328.1227251517,ppo_standalone,XLF,wf_2018_2019,7
2018-01-22,985281.183595526,ppo_standalone,XLF,wf_2018_2019,7
2018-01-23,985711.3234759555,ppo_standalone,XLF,wf_2018_2019,7
2018-01-24,983042.477371543,ppo_standalone,XLF,wf_2018_2019,7
2018-01-25,987824.2684528662,ppo_standalone,XLF,wf_2018_2019,7
2018-01-26,992058.6783332152,ppo_standalone,XLF,wf_2018_2019,7
2018-01-29,989369.008733015,ppo_standalone,XLF,wf_2018_2019,7
2018-01-30,985435.8198514176,ppo_standalone,XLF,wf_2018_2019,7
2018-01-31,980639.3262971985,ppo_standalone,XLF,wf_2018_2019,7
2018-02-01,981310.8995619271,ppo_standalone,XLF,wf_2018_2019,7
2018-02-02,984080.7709415844,ppo_standalone,XLF,wf_2018_2019,7
2018-02-05,984932.9283249469,ppo_standalone,XLF,wf_2018_2019,7
2018-02-06,984606.2993485692,ppo_standalone,XLF,wf_2018_2019,7
2018-02-07,985124.0026775807,ppo_standalone,XLF,wf_2018_2019,7
