date,portfolio_value,agent,ticker,fold_id,seed
2018-01-02,1000000.0,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-01-03,1005040.9937829287,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-01-04,983406.7800546049,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-01-05,963361.5154078808,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-01-08,967202.9717822125,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-01-09,959203.3477802393,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-01-10,944105.387800247,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-01-11,943737.5929501776,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-01-12,952107.5646768213,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-01-16,949901.1207974812,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-01-17,958020.4626874812,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-01-18,956488.2925522567,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-01-19,954889.2842691201,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-01-22,951292.6024931364,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-01-23,939859.9199711522,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-01-24,947175.1836213192,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-01-25,962174.0800475078,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-01-26,966410.5121596343,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-01-29,957232.0891162257,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-01-30,941034.5729327829,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-01-31,940007.8379342279,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-02-01,943204.4693640039,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-02-02,950598.0751866396,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-02-05,951014.0292040608,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-02-06,945650.4035846011,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-02-07,945426.7776284822,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-02-08,959069.6014421528,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-02-09,958853.4312356446,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-02-12,953646.4079315229,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-02-13,949436.3651535508,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-02-14,945757.5536201946,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-02-15,952111.5242545968,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-02-16,940870.4337269388,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-02-20,946958.7061121773,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-02-21,966106.097967558,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-02-22,950705.9243120555,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-02-23,946196.9231938744,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-02-26,959576.9798065086,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-02-27,952330.8619956938,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-02-28,937546.0675801433,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-03-01,953134.2328589371,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-03-02,938113.099900674,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-03-05,953935.0043301204,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-03-06,952901.4262482751,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-03-07,966771.0555285459,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-03-08,952405.5236244593,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-03-09,956111.1966623884,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-03-12,982337.6311647027,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-03-13,990874.2299726445,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-03-14,990757.1452315865,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-03-15,999879.7083671788,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-03-16,1008439.335991394,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-03-19,1011723.1902751654,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-03-20,1025038.497811521,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-03-21,1026089.9854562901,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-03-22,1022001.056192623,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-03-23,1027258.4312981752,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-03-26,1018028.8957711926,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-03-27,1024794.9245038807,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-03-28,1037278.9311968016,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-03-29,1028061.7267278902,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-04-02,1027945.0484661122,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-04-03,1022694.5266861051,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-04-04,1026170.9617810731,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-04-05,1024189.2722404086,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-04-06,1028379.3690533689,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-04-09,1029545.2339630406,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-04-10,1036374.3202925699,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-04-11,1054175.7907703079,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-04-12,1060880.6625077028,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-04-13,1062167.1271427933,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-04-16,1068413.7985276552,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-04-17,1068645.3344693428,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-04-18,1071850.406223262,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-04-19,1085738.0458124634,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-04-20,1078497.2475410544,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-04-23,1087992.991651377,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-04-24,1075530.0279077317,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-04-25,1075411.1980399871,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-04-26,1060217.9689864498,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-04-27,1036597.1179365434,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-04-30,1033845.0016763331,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-05-01,1060911.706723968,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-05-02,1053884.840054434,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-05-03,1058242.7259896074,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-05-04,1050248.9653714353,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-05-07,1048060.4355842624,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-05-08,1052398.9325291961,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-05-09,1066318.590162361,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-05-10,1064482.6275642696,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-05-11,1069341.394283636,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-05-14,1062175.7590015775,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-05-15,1058626.0210336745,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
2018-05-16,1057270.4498608487,ppo_with_uncertainty_guard,XLE,wf_2018_2019,23
